field,loader_accepts_field,matched_real_hook_terms,classification,reason,source_path
max_outer_iterations,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
ambient_loss_model,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
mdot_search_lower_kg_s,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
mdot_search_upper_kg_s,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
internal_htc_mode,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
internal_htc_multiplier_by_parent_segment,true,,known_non_hook,single-stream internal HTC multiplier,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
profile_descriptor_mode,true,,known_non_hook,"2D descriptor multiplier/profile metadata, not a dynamic exchange reservoir",/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
profile_descriptor_decay_x_over_d,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
profile_descriptor_htc_gain,true,,known_non_hook,single-stream internal HTC gain,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
profile_descriptor_htc_shape_weight,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
profile_descriptor_htc_developing_weight,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
profile_descriptor_friction_gain,true,,known_non_hook,single-stream friction descriptor gain,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
profile_descriptor_friction_shape_weight,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
profile_descriptor_friction_developing_weight,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
friction_multiplier_by_parent_segment,true,,known_non_hook,single-stream distributed friction multiplier,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
friction_form,true,,known_non_hook,distributed hydraulic closure selector,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
ri_table,true,,known_non_hook,"diagnostic CFD-derived Richardson table, not self-consistent UMX physics",/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
outer_closure_mode,true,,known_non_hook,external wall-loss model selector,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
outer_conv_multiplier_by_parent_segment,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
outer_rad_multiplier_by_parent_segment,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
outer_insulation_multiplier_by_parent_segment,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
external_boundary_h_by_parent_segment,true,,known_non_hook,parent wall-loss setup field,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
external_boundary_ambient_temperature_by_parent_segment,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
external_boundary_surroundings_temperature_by_parent_segment,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
external_boundary_emissivity_by_parent_segment,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
external_boundary_coverage_multiplier_by_parent_segment,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
external_boundary_source_by_parent_segment,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
external_boundary_drive_selector_by_parent_segment,true,,known_non_hook,parent wall-loss drive selector,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
external_boundary_role_rows,true,,known_non_hook,role-local external heat-loss replacement; no second fluid stream or energy exchange,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
heater_source_mode,true,,known_non_hook,heater source redistribution only,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
heater_source_weights_by_span,true,,known_non_hook,heater source redistribution only,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
three_d_contract_case_id,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
use_three_d_source_profile,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
use_three_d_segment_losses,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
