scoreboard_id,source_family,model_form_name,thesis_role,physics_added_or_tested,runtime_inputs_allowed,forbidden_inputs,best_numeric_evidence_available,mdot_error_pct,tp_rmse_or_error_K,tw_rmse_or_error_K,all_probe_rmse_or_error_K,pressure_or_hydraulic_status,thermal_status,admission_status,score_status,try_next_priority,recommended_next_action,source_paths
MF-06,litrev_model_form,CFD_derived_compartment_or_POD_ROM_hybrid,Future surrogate/ROM lane if full-order snapshot ensemble exists,Target chapter: Ch. 9 future work; optional appendix,see required gates and source envelope before runtime use,No predictive accuracy claim without verified FOM and held-out validation.,taxonomy/source-envelope row; not a numeric score by itself,,,,,FOM verification; snapshot coverage; retained energy/mode criterion; conservation checks; held-out validation; extrapolation detector,Mention as future capability for fast interpolation within a verified envelope.,not_admitted_taxonomy_only,open row TODO-LITREV-TRANSIENT-ROM-PARKING-LOT,low,Park until verified CFD snapshot ensemble exists.,work_products/2026-07/2026-07-21/2026-07-21_thesis_litrev_csem_incorporation/model_form_thesis_ladder.csv
M5/S13,upcomer_exchange_evidence,throughflow_plus_recirculation_exchange_cell,main candidate escalation for recirculating upcomer,"recirculation CV, exchange mass-flux proxy, residence-time proxy, wall/core/source-side heat-path diagnostics",none released for prediction yet; diagnostic averages and sampled-field evidence only,ordinary upcomer Nu/f_D/K admission; post-solve velocity or wall heat-flux output as runtime input,average rows=3; S13 synthesis status=diagnostic_only_thesis_ready_production_harvest_blocked; Q_wall_W ready=0; same-QOI UQ ready=0,,,,,finite exchange proxy exists; pressure residual basis still gated,finite source-side heat-path diagnostics exist; Q_wall_W/UQ/admission blocked,diagnostic_only_not_admitted,source_side_equivalent_is_smallest_remaining_path_but_production_blocked,high,Try MF-04/M5 only after exact Qwall/pressure evidence and same-QOI UQ close; use current rows for figures and model motivation.,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_average_field_thermal_reduction/summary.json;work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_sampled_field_qwall_uq_unblock/summary.json;work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_limited_sampled_field_evidence_synthesis/s13_exchange_trend_table.csv
MF-02/two-tap,section_effective_pressure,section_effective_recirc_pressure_residual,negative pressure result and section-effective alternative to ordinary component K,two-tap lower-leg/right-leg section residual under material reverse flow,none for admitted prediction; diagnostic Salt2-frozen transfer check only,component_K; ordinary_single_stream_K; F6_fit; clipped_K; hidden_global_multiplier,Salt2/Salt3/Salt4 residuals Pa=-1.25366731683/-1.84957005859/-1.67833900273; Salt2-frozen max abs error Pa=0.47046606946166093438399,,,,,section-effective diagnostic; ordinary component K blocked by recirculation/isolation/UQ,not a thermal model form,not_admitted,diagnostic_transfer_check_not_admitted,medium,Use for thesis pressure figures now; only try admission after nonrecirculating/low-reverse anchors and same-QOI UQ exist.,work_products/2026-07/2026-07-21/2026-07-21_two_tap_section_effective_hybrid_pressure_scorecard/summary.json
S14/F6,ordinary_f6_pressure_screen,ordinary_branch_F6_candidate_screen,branch-use screen for possible ordinary pressure anchors,ordinary branch pressure/F6 gate with recirculation and UQ filters,"none for prediction until endpoint, ordinary-flow, source/property, and same-QOI UQ gates pass","F6 fit, component K, clipped K, hidden multiplier","rows=53; admitted=0; future_candidate=8; preferred future branches=right_leg,test_section_span",,,,,right_leg and test_section_span are future lanes; current admitted rows are zero,not a thermal model form,not_admitted,pressure_F6_use_map_complete_no_admitted_score,medium,Try only after exact endpoint fields and same-QOI UQ; do not use recirculating corners as ordinary F6.,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s14_pressure_f6_nonrecirc_anchor_evidence/summary.json
M6/S6,final_frozen_scorecard,frozen_final_predictive_candidate,"desired final endpoint, currently a blocked scorecard shell",full runtime-legal frozen candidate across locked split,setup inputs and predeclared admitted coefficients only after freeze,"score-target temperatures, post-solve wall heat-flux output, post-solve mass-flow output, scored-row pressure losses, fitting on protected rows",final score values published=0; fit rows=0,,,,,blocked until one runtime-legal candidate passes gates,blocked until source/property and residual-owner gates pass,blocked_no_frozen_candidate,blocked_scorecard_shell_no_frozen_candidate,high_after_prerequisites,Do not score now; first produce exactly one candidate from S13/S14/thermal residual-owner gates.,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s6_frozen_candidate_scorecard/summary.json
M2_as_is,baseline,M2 current scoreboard baseline,baseline comparator,No new construction; included to preserve the old scoreboard reference point.,Salt2 train signed-error residuals for diagnostic construction only; Salt3/Salt4 transfer reported without fitting,transfer targets for fit; validation/holdout model selection; source/property release; final score; hidden multiplier,train RMSE=24.3313364206 K; transfer RMSE=28.3504762873 K; transfer mean signed error=-26.3434552938 K; transfer TP/TW RMSE=25.6422524104/29.6118507398 K; delta vs M3=10.9859469777 K (-63.2665981431%),,25.6422524104,29.6118507398,28.3504762873,not a pressure model form,Use only as historical numeric context unless the M0 setup-only baseline is built.,diagnostic_not_admitted,baseline_context_from_diagnostic_addendum,context,Use only as historical numeric context unless the M0 setup-only baseline is built.,work_products/2026-07/2026-07-22/2026-07-22_thesis_suggested_model_form_diagnostic_tests/tested_model_form_scoreboard.csv
M3_as_is,baseline,M3 current best legacy numeric comparator,baseline comparator,No new construction; this is the best current legacy numeric comparator from the master scoreboard.,Salt2 train signed-error residuals for diagnostic construction only; Salt3/Salt4 transfer reported without fitting,transfer targets for fit; validation/holdout model selection; source/property release; final score; hidden multiplier,train RMSE=19.348664519 K; transfer RMSE=17.3645293096 K; transfer mean signed error=-14.0651310596 K; transfer TP/TW RMSE=13.5673279702/18.980361511 K; delta vs M3=0 K (-0%),,13.5673279702,18.980361511,17.3645293096,not a pressure model form,Keep as the reference for residual-shape tests.,diagnostic_not_admitted,baseline_context_from_diagnostic_addendum,context,Keep as the reference for residual-shape tests.,work_products/2026-07/2026-07-22/2026-07-22_thesis_suggested_model_form_diagnostic_tests/tested_model_form_scoreboard.csv
D1_M3_global_bias_offset_train,passive_wall_or_setup_level_bias_probe,M3 plus one Salt2-trained global temperature offset,diagnostic residual ownership test,A single missing setup/passive heat term shifts all TP/TW targets by the same temperature increment.,Salt2 train signed-error residuals for diagnostic construction only; Salt3/Salt4 transfer reported without fitting,transfer targets for fit; validation/holdout model selection; source/property release; final score; hidden multiplier,train RMSE=9.61232095946 K; transfer RMSE=10.5420700958 K; transfer mean signed error=2.72695351733 K; transfer TP/TW RMSE=5.40150510037/12.3334802138 K; delta vs M3=-6.82245921376 K (39.2896294056%),,5.40150510037,12.3334802138,10.5420700958,not a pressure model form,"If transfer improves without large shape error, prioritize source-bounded passive wall/test-section repair.",diagnostic_not_admitted,scored_diagnostic_addendum_no_admission,context,"If transfer improves without large shape error, prioritize source-bounded passive wall/test-section repair.",work_products/2026-07/2026-07-22/2026-07-22_thesis_suggested_model_form_diagnostic_tests/tested_model_form_scoreboard.csv
D2_M3_sensor_kind_offsets_train,qoi_projection_or_wall_fluid_split_probe,M3 plus Salt2-trained TP and TW offsets,diagnostic QOI split test,Bulk-fluid sensors and wall sensors may have different systematic projection or exchange errors.,Salt2 train signed-error residuals for diagnostic construction only; Salt3/Salt4 transfer reported without fitting,transfer targets for fit; validation/holdout model selection; source/property release; final score; hidden multiplier,train RMSE=9.53680181224 K; transfer RMSE=10.5253939442 K; transfer mean signed error=2.72695351733 K; transfer TP/TW RMSE=4.38159298515/12.5130610954 K; delta vs M3=-6.83913536539 K (39.3856651307%),,4.38159298515,12.5130610954,10.5253939442,not a pressure model form,"If TP/TW offsets transfer, prioritize wall/core exchange and QOI projection uncertainty work.",diagnostic_not_admitted,scored_diagnostic_addendum_no_admission,medium,"If TP/TW offsets transfer, prioritize wall/core exchange and QOI projection uncertainty work.",work_products/2026-07/2026-07-22/2026-07-22_thesis_suggested_model_form_diagnostic_tests/tested_model_form_scoreboard.csv
D3_M3_wall_linear_shape_train,thermal_shape_or_axial_mixing_probe,M3 plus Salt2-trained wall-index shape correction,diagnostic thermal-shape test,Wall residual has a repeatable axial/sensor-order component; TP residual is treated as a level offset.,Salt2 train signed-error residuals for diagnostic construction only; Salt3/Salt4 transfer reported without fitting,transfer targets for fit; validation/holdout model selection; source/property release; final score; hidden multiplier,train RMSE=7.4830682889 K; transfer RMSE=8.38846755024 K; transfer mean signed error=2.72695351733 K; transfer TP/TW RMSE=4.38159298515/9.79542766899 K; delta vs M3=-8.97606175934 K (51.6919381995%),,4.38159298515,9.79542766899,8.38846755024,not a pressure model form,"If transfer improves local shape, prioritize S12 thermal-shape and axial-mixing studies.",diagnostic_not_admitted,scored_diagnostic_addendum_no_admission,high,"If transfer improves local shape, prioritize S12 thermal-shape and axial-mixing studies.",work_products/2026-07/2026-07-22/2026-07-22_thesis_suggested_model_form_diagnostic_tests/tested_model_form_scoreboard.csv
D4_M3_segment_offsets_min2_train,segment_source_placement_probe,M3 plus Salt2-trained segment offsets with min two sensors,diagnostic segment/local-source test,Missing thermal/source placement error is local to repeated loop segments and transfers by segment label.,Salt2 train signed-error residuals for diagnostic construction only; Salt3/Salt4 transfer reported without fitting,transfer targets for fit; validation/holdout model selection; source/property release; final score; hidden multiplier,train RMSE=6.69200828686 K; transfer RMSE=7.94040349151 K; transfer mean signed error=3.48615119164 K; transfer TP/TW RMSE=3.45876115037/9.41241186224 K; delta vs M3=-9.42412581807 K (54.272279139%),,3.45876115037,9.41241186224,7.94040349151,not a pressure model form,"If transfer improves a subset but harms another, prioritize source-bounded local heat-path ownership before fitting.",diagnostic_not_admitted,scored_diagnostic_addendum_no_admission,high,"If transfer improves a subset but harms another, prioritize source-bounded local heat-path ownership before fitting.",work_products/2026-07/2026-07-22/2026-07-22_thesis_suggested_model_form_diagnostic_tests/tested_model_form_scoreboard.csv
M0/current-shell,setup_only_baseline,M0 setup-only baseline scorecard shell,lower-bound baseline still required before final comparisons,setup-only baseline matrix and runtime-input audit,setup-only rows only after prediction model exists,post-solve fields; score-target temperatures; residual tuning,numerical prediction rows=0; missing prediction rows=79; decision=m0_setup_only_baseline_shell_ready_all_predictions_explicitly_missing,,,,,prediction shell only,prediction shell only,not_scored_predictions_missing,m0_setup_only_baseline_shell_ready_all_predictions_explicitly_missing,high,Implement actual setup-only predictions or keep M0 explicitly missing in every comparison figure.,work_products/2026-07/2026-07-22/2026-07-22_m0_setup_only_baseline_prediction_scorecard/summary.json
PASSIVE-H2-CAND001/latest,passive_outer_insulation_radiation_operator,PASSIVE-H2 source-backed exterior heat-loss operator,"best source-backed thermal candidate lane, currently diagnostic/support only","setup patch/subspan mapping, Salt2 runtime smoke, same-QOI setup UQ support",Salt2 train/runtime-smoke support only; Salt3/Salt4 diagnostic smoke only while active row remains open,protected scoring; numeric q-loss release; source/property release; candidate freeze,setup subspan support 15/15; same-QOI setup UQ labels 6/6; source release-ready rows=0; final gate=passive_h2_final_form_admission_phase_fail_closed_runtime_supported_no_freeze_no_score,,,,,not a pressure model form,runtime-supported diagnostic lane; release/freeze blocked,diagnostic_support_no_release_no_freeze,passive_h2_role_subspan_mapping_recovered_diagnostic_uq_done_no_release_no_freeze,high,"Finish Salt3/Salt4 diagnostic runtime smoke, then rerun candidate-specific source/property and exact same-QOI gates before any freeze.",work_products/2026-07/2026-07-22/2026-07-22_passive_h2_role_subspan_mapping_recovery/summary.json;work_products/2026-07/2026-07-22/2026-07-22_passive_h2_final_form_admission_phase_gate/summary.json;work_products/2026-07/2026-07-22/2026-07-22_passive_h2_source_mapping_split_uq_preflight/summary.json
HX_LUMPED_UA_NTU/latest,cooler_removal_lumped_ua_ntu,HX lumped UA/NTU coupled Fluid evaluation,tested cooler-removal candidate; useful negative diagnostic result,coupled Fluid roots for HX/cooler candidate,diagnostic coupled rows only; source/property release remains false,source/property release; refit; protected score; final freeze,coupled rows completed=12; accepted roots=12; review=fail_diagnostic_large_coupled_errors_source_property_closed,,,,,coupled mdot errors large in review package,diagnostic negative result; source/property closed,diagnostic_failed_large_errors_no_release,fail_diagnostic_large_coupled_errors_source_property_closed,low,Do not prioritize HX_LUMPED_UA_NTU until source/property release and coupled-error mechanism are repaired.,work_products/2026-07/2026-07-22/2026-07-22_hx_coupled_fluid_evaluation_scheduler/summary.json
PRESSURE-CAND001/latest,terminal_low_recirculation_pressure_anchor,CAND001 terminal endpoint readiness gate,pressure/F6 anchor monitor result; not endpoint-ready,"scheduler terminal state, endpoint-field readiness, ordinary-flow/UQ prerequisites",none for score; monitor only until terminal,sampler; F6 score; component K; clipped K; hidden multiplier,job 3308712 state=RUNNING; endpoint ready fields=0/15; same-QOI UQ ready=0,,,,,blocked: job running and endpoint fields not ready,not a thermal model form,blocked_running_no_sampler_no_admission,cand001_endpoint_readiness_blocked_job_running_no_sampler_no_admission,monitor,Monitor CAND001 to terminal state; only then claim terminal disposition and staged-copy preflight.,work_products/2026-07/2026-07-22/2026-07-22_pressure_cand001_terminal_endpoint_readiness_gate/summary.json
