source_id,case_id,mesh_level,fluid_variant,source_path,source_exists,foamrun_terminal_state,tail_signal15,tail_convergence_monitor,tail_convergence_line,latest_solver_time_s,latest_postprocessing_time_s,stored_time_dir_count,postprocessing_family_count,missing_required_postprocessing,mdot_monitor_count,wallheatflux_present,yplus_present,gate_verdict,quality_flags
salt_test_2_jin_medium_mesh_external_20260707,salt_test_2_jin,medium,jin,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_2_jin_medium_mesh,yes,clean_end,no,yes,*** convergenceMonitor: CONVERGED at iteration 103400 | dTmean=7.36277275e-11 dTsigma=7.83379652e-08 dUmean=8.51202204e-08 (tol=0.0001),518,518.93359375,8,12,none,4,yes,yes,admitted_for_gci_input,none
salt_test_2_kirst_medium_mesh_external_20260707,salt_test_2_kirst,medium,kirst,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_2_kirst_medium_mesh,yes,signal15,yes,no,,1118,1119,9,12,none,4,yes,yes,historical_kirst_only,signal15_tail;no_tail_convergence_monitor
salt_test_3_jin_medium_mesh_external_20260707,salt_test_3_jin,medium,jin,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_3_jin_medium_mesh,yes,signal15,yes,no,,1340,1341,9,12,none,4,yes,yes,inventory_only,signal15_tail;no_tail_convergence_monitor
salt_test_3_kirst_medium_mesh_external_20260707,salt_test_3_kirst,medium,kirst,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_3_kirst_medium_mesh,yes,signal15,yes,no,,1043,1044,9,12,none,4,yes,yes,historical_kirst_only,signal15_tail;no_tail_convergence_monitor
salt_test_4_jin_medium_mesh_external_20260707,salt_test_4_jin,medium,jin,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_4_jin_medium_mesh,yes,signal15,yes,no,,1159,1160,9,12,none,4,yes,yes,partial_needs_continuation,signal15_tail;no_tail_convergence_monitor
salt_test_4_kirst_medium_mesh_external_20260707,salt_test_4_kirst,medium,kirst,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_4_kirst_medium_mesh,yes,signal15,yes,no,,935,936,9,12,none,4,yes,yes,historical_kirst_only,signal15_tail;no_tail_convergence_monitor
salt_test_1_jin_fine_mesh_external_20260707,salt_test_1_jin,fine,jin,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_1_jin_fine_mesh,yes,signal15,yes,no,,756,756,14,12,none,4,yes,yes,inventory_only,signal15_tail;no_tail_convergence_monitor
salt_test_1_kirst_fine_mesh_external_20260707,salt_test_1_kirst,fine,kirst,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_1_kirst_fine_mesh,yes,signal15,yes,no,,213,214,5,12,none,4,yes,yes,historical_kirst_only,signal15_tail;no_tail_convergence_monitor
salt_test_2_jin_fine_mesh_external_20260707,salt_test_2_jin,fine,jin,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_2_jin_fine_mesh,yes,clean_end,no,yes,*** convergenceMonitor: CONVERGED at iteration 155300 | dTmean=1.13976634e-15 dTsigma=2.32154593e-14 dUmean=6.83883411e-08 (tol=0.0001),399,399.408415842,12,12,none,4,yes,yes,admitted_for_gci_input,none
salt_test_2_kirst_fine_mesh_external_20260707,salt_test_2_kirst,fine,kirst,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_2_kirst_fine_mesh,yes,signal15,yes,no,,174,175,5,12,none,4,yes,yes,historical_kirst_only,signal15_tail;no_tail_convergence_monitor
salt_test_3_jin_fine_mesh_external_20260707,salt_test_3_jin,fine,jin,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_3_jin_fine_mesh,yes,signal15,yes,no,,533,534,13,12,none,4,yes,yes,inventory_only,signal15_tail;no_tail_convergence_monitor
salt_test_3_kirst_fine_mesh_external_20260707,salt_test_3_kirst,fine,kirst,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_3_kirst_fine_mesh,yes,signal15,yes,no,,185,186,5,12,none,4,yes,yes,historical_kirst_only,signal15_tail;no_tail_convergence_monitor
salt_test_4_jin_fine_mesh_external_20260707,salt_test_4_jin,fine,jin,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_4_jin_fine_mesh,yes,signal15,yes,no,,417,418,13,12,none,4,yes,yes,partial_needs_continuation,signal15_tail;no_tail_convergence_monitor
salt_test_4_kirst_fine_mesh_external_20260707,salt_test_4_kirst,fine,kirst,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_4_kirst_fine_mesh,yes,signal15,yes,no,,150,151,5,12,none,4,yes,yes,historical_kirst_only,signal15_tail;no_tail_convergence_monitor
