case_id,time_window_s,input_lane,status,required_for_harvest,available_path_or_value,source_path,blocking_reason,unlock_condition
salt_3,7618,source_sink_release,blocked_static_context_only,true,Q_source_W=334.5;Q_sink_W=150.769638674;Q_net_W=183.730361326,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/source_sink_summary.csv,"static source/sink terms are parsed, but cp, sign convention, wall heat flow, and release status remain incomplete","publish same-window source/sink release ledger with cp_J_kg_K, sign convention, and source paths"
salt_3,7618,same_window_thermal_fields,blocked,true,cell_vtk_only_or_pending,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_geometry_contract/wall_core_band_contract.csv,wall/core/bulk thermal contrast cannot be released without recirculation wall/core band,publish wall/core band plus bulk/core thermal reduction policy for the same window
salt_3,7618,same_qoi_uq,blocked,true,,work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_c_admission_table/next_task_queue.csv,blocked_missing_neighbor_window;blocked_missing_neighbor_window,publish same-window neighbor and mesh-family UQ for exchange QOIs before admission review
salt_3,7618,production_harvest_readiness,blocked,true,sampler_ready=false,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_sampler_reusable_harvest_scaffold/required_vtk_input_contract.csv,"interface, wall/core, normals, Q_wall_W, source release, thermal contrast, and UQ lanes are blocked",rerun this preflight only after upstream rows release all required inputs
salt_4,10000,cell_vtk,ready,true,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_cell_vtk_salt3_salt4_matrix/vtk/salt_4_cell_fields.vtk,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_three_case_cell_vtk_manifest/case_vtk_input_manifest.cells_populated.csv,,already ready
salt_4,10000,volume_csv,ready,true,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation/cell_volumes/salt_4_cell_volumes.csv,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_three_case_cell_vtk_manifest/case_vtk_input_manifest.cells_populated.csv,,already ready
salt_4,10000,exchange_interface_vtk,blocked,true,MISSING_EXCHANGE_INTERFACE_VTK,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_geometry_contract/interface_geometry_contract.csv,Existing faceZones are loop mass-flow planes or representative proxies; none are a conservative main/recirculation exchange boundary.,publish trusted conservative main/recirculation interface VTK with source path
salt_4,10000,wall_vtk,blocked,true,MISSING_WALL_VTK,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_geometry_contract/wall_core_band_contract.csv,"Right-leg/upcomer wall patches are plausible support context, but no approved recirculation cell region defines the wall/core band or area-weighting convention.",publish wall/core band VTK tied to an approved recirculation cell region
salt_4,10000,normals,blocked,true,positive mdot_exchange must be defined from recirculation cell toward main throughflow once a trusted interface exists,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_geometry_contract/interface_geometry_contract.csv,normal convention is defined for future use but no released interface surface exists,"publish interface normal vector provenance, sign convention, area basis, and source path"
salt_4,10000,Q_wall_W,blocked,true,,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/source_sink_summary.csv,requires Q_wall_W from task-owned wallHeatFlux integration plus exchange state,publish task-owned wallHeatFlux integration over the released wall/core band
salt_4,10000,source_sink_release,blocked_static_context_only,true,Q_source_W=374.599999999;Q_sink_W=169.226815037;Q_net_W=205.373184962,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/source_sink_summary.csv,"static source/sink terms are parsed, but cp, sign convention, wall heat flow, and release status remain incomplete","publish same-window source/sink release ledger with cp_J_kg_K, sign convention, and source paths"
salt_4,10000,same_window_thermal_fields,blocked,true,cell_vtk_only_or_pending,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_geometry_contract/wall_core_band_contract.csv,wall/core/bulk thermal contrast cannot be released without recirculation wall/core band,publish wall/core band plus bulk/core thermal reduction policy for the same window
salt_4,10000,same_qoi_uq,blocked,true,,work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_c_admission_table/next_task_queue.csv,blocked_missing_neighbor_window;blocked_missing_neighbor_window,publish same-window neighbor and mesh-family UQ for exchange QOIs before admission review
salt_4,10000,production_harvest_readiness,blocked,true,sampler_ready=false,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_sampler_reusable_harvest_scaffold/required_vtk_input_contract.csv,"interface, wall/core, normals, Q_wall_W, source release, thermal contrast, and UQ lanes are blocked",rerun this preflight only after upstream rows release all required inputs
