source_id,case_id,patch_group,span,patch_names,wallHeatFlux_integral_W,internal_convection_resistance_m2K_W,wall_conduction_resistance_m2K_W,external_convection_resistance_m2K_W,external_radiation_resistance_m2K_W,total_boundary_resistance_m2K_W,network_terms_resolved,radiation_output_term,radiation_present,radiation_caveat,unresolved_network_terms
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,ambient_wall,downcomer,"pipeleg_right_01_lower, pipeleg_right_02_middle, pipeleg_right_03_upper",-25.3479,0.012993,0.747208,0.286506,absent_no_qr_output,1.033714,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,radiation_absent_no_qr_output
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,junction_other,junction,"junction_lower_left, junction_lower_left_left_extension, junction_lower_left_left_step, junction_lower_left_left_stub, junction_lower_left_lower_extension, junction_lower_left_lower_stub, junction_lower_right, junction_lower_right_lower_extension, junction_lower_right_lower_stub, junction_lower_right_right_extension, junction_lower_right_right_step, junction_lower_right_right_stub, junction_upper_left, junction_upper_left_upper_extension, junction_upper_left_upper_stub, junction_upper_right, junction_upper_right_right_extension, junction_upper_right_right_step, junction_upper_right_right_stub, junction_upper_right_upper_extension, junction_upper_right_upper_stub, ncc_junction_lower_left_right_end, ncc_junction_lower_left_upper_start, ncc_junction_lower_right_left_start, ncc_junction_lower_right_upper_end, ncc_junction_upper_left_lower_end, ncc_junction_upper_left_right_start, ncc_junction_upper_right_left_end, ncc_junction_upper_right_lower_start",-43.2347,,0.771214,0.216991,absent_no_qr_output,0.988205,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,internal_convection;radiation_absent_no_qr_output
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,ambient_wall,lower_leg,"pipeleg_lower_01_fitting, pipeleg_lower_02_straight, pipeleg_lower_03_bend, pipeleg_lower_07_bend, pipeleg_lower_08_straight, pipeleg_lower_09_fitting",-7.3273,-0.011405,0.735138,0.256161,absent_no_qr_output,0.991299,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,radiation_absent_no_qr_output
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,heater,lower_leg,"pipeleg_lower_04_straight, pipeleg_lower_05_straight, pipeleg_lower_06_straight",273.1554,0.003311,0.709465,0.24493,absent_no_qr_output,0.954395,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,radiation_absent_no_qr_output
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,ambient_wall,upcomer,"pipeleg_left_01_upper, pipeleg_left_02_connector, pipeleg_left_03_fitting, pipeleg_left_05_fitting, pipeleg_left_06_connector, pipeleg_left_07_lower",-22.0739,0.011354,0.731225,0.274808,absent_no_qr_output,1.006033,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,radiation_absent_no_qr_output
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,test_section,upcomer,pipeleg_left_04_test_section,-10.545,0.006687,0.001571,0.131919,absent_no_qr_output,0.13349,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,radiation_absent_no_qr_output
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,ambient_wall,cooling_branch,"pipeleg_upper_01_straight, pipeleg_upper_02_bend, pipeleg_upper_03_straight, pipeleg_upper_07_straight, pipeleg_upper_08_bend, pipeleg_upper_09_straight",-15.0871,-0.003251,0.711635,0.240898,absent_no_qr_output,0.952532,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,radiation_absent_no_qr_output
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,cooler,cooling_branch,"pipeleg_upper_04_reducer, pipeleg_upper_05_cooler, pipeleg_upper_06_reducer",-169.2268,0.001916,,,absent_no_qr_output,,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,wall_conduction;external_convection;radiation_absent_no_qr_output
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,ambient_wall,downcomer,"pipeleg_right_01_lower, pipeleg_right_02_middle, pipeleg_right_03_upper",-28.1246,0.013475,0.721842,0.278913,absent_no_qr_output,1.000755,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,radiation_absent_no_qr_output
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,junction_other,junction,"junction_lower_left, junction_lower_left_left_extension, junction_lower_left_left_step, junction_lower_left_left_stub, junction_lower_left_lower_extension, junction_lower_left_lower_stub, junction_lower_right, junction_lower_right_lower_extension, junction_lower_right_lower_stub, junction_lower_right_right_extension, junction_lower_right_right_step, junction_lower_right_right_stub, junction_upper_left, junction_upper_left_upper_extension, junction_upper_left_upper_stub, junction_upper_right, junction_upper_right_right_extension, junction_upper_right_right_step, junction_upper_right_right_stub, junction_upper_right_upper_extension, junction_upper_right_upper_stub, ncc_junction_lower_left_right_end, ncc_junction_lower_left_upper_start, ncc_junction_lower_right_left_start, ncc_junction_lower_right_upper_end, ncc_junction_upper_left_lower_end, ncc_junction_upper_left_right_start, ncc_junction_upper_right_left_end, ncc_junction_upper_right_lower_start",-48.4852,,0.747634,0.211676,absent_no_qr_output,0.95931,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,internal_convection;radiation_absent_no_qr_output
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,ambient_wall,lower_leg,"pipeleg_lower_01_fitting, pipeleg_lower_02_straight, pipeleg_lower_03_bend, pipeleg_lower_07_bend, pipeleg_lower_08_straight, pipeleg_lower_09_fitting",-8.1555,-0.010529,0.708382,0.249335,absent_no_qr_output,0.957717,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,radiation_absent_no_qr_output
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,heater,lower_leg,"pipeleg_lower_04_straight, pipeleg_lower_05_straight, pipeleg_lower_06_straight",310.4871,0.003104,0.681418,0.238575,absent_no_qr_output,0.919993,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,radiation_absent_no_qr_output
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,ambient_wall,upcomer,"pipeleg_left_01_upper, pipeleg_left_02_connector, pipeleg_left_03_fitting, pipeleg_left_05_fitting, pipeleg_left_06_connector, pipeleg_left_07_lower",-24.5599,0.009943,0.704328,0.267448,absent_no_qr_output,0.971776,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,radiation_absent_no_qr_output
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,test_section,upcomer,pipeleg_left_04_test_section,-16.7687,0.005038,0.001571,0.129808,absent_no_qr_output,0.131379,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,radiation_absent_no_qr_output
