case_key,split_role,cfd_span,physical_location_label,one_d_component_segments,flow_start_station_label,flow_end_station_label,arithmetic_mean_p_Pa,arithmetic_mean_p_rgh_Pa,flow_end_minus_start_p_Pa,flow_end_minus_start_p_rgh_Pa,static_delta_sign,p_rgh_delta_sign,static_prgh_delta_relation,max_reverse_area_fraction_proxy,mean_reverse_area_fraction_proxy,admission_table_status,recirculation_mask_status,pressure_definition_status,orientation_status,straight_loss_subtraction_status,true_f_D_or_K_fit_admitted,scientific_use,critique,source_path
salt1_lo10q,training_perturbation,upper_leg,cooled leg / top cooled incline,top_horizontal_inlet;cooled_incline_pre_hx;cooled_incline_hx_active;cooled_incline_post_hx;top_horizontal_exit,upper_leg__s00,upper_leg__s04,-7421.8124282,-7.88761457844,7026.787945000001,23.616924342999997,positive,positive,same_sign,0.5783308931,0.50627540296,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt1_lo10q,training_perturbation,right_leg,right downcomer / cold vertical return,right_vertical,right_leg__s00,right_leg__s04,-4461.15020102,-9.1193579406,-14201.376100000001,-4.472343649,negative,negative,same_sign,0.6701388889,0.5535580223,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt1_nominal,training,lower_leg,heater / bottom heated incline,heated_incline,lower_leg__s04,lower_leg__s00,-6396.56219344,-1.3076402034,-7138.5613118,-0.5534373980000007,negative,negative,same_sign,0.5405797101,0.39362520426000003,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt1_nominal,training,left_lower_leg,lower upcomer below test section,left_lower_vertical,left_lower_leg__s00,left_lower_leg__s04,-3313.40112018,-8.0473033852,-4738.8865921,-0.7174088949999993,negative,negative,same_sign,0.6597222222,0.65416666666,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit;upcomer_or_test_section_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt1_nominal,training,test_section_span,test section / middle upcomer,test_section,test_section_span__s00,test_section_span__s04,-8698.6245244,-9.0767689572,3832.13116,0.7665418660000007,positive,positive,same_sign,0.3590733591,0.33976833978,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit;upcomer_or_test_section_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt1_nominal,training,left_upper_leg,upper upcomer above test section,left_upper_vertical,left_upper_leg__s00,left_upper_leg__s04,-14566.523794,-10.41784575102,-5541.818909999998,-19.307535105,negative,negative,same_sign,0.8492307692,0.77554804658,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit;upcomer_or_test_section_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt1_nominal,training,upper_leg,cooled leg / top cooled incline,top_horizontal_inlet;cooled_incline_pre_hx;cooled_incline_hx_active;cooled_incline_post_hx;top_horizontal_exit,upper_leg__s00,upper_leg__s04,-7398.9265552,-6.3823801054,7005.91161,24.093848282,positive,positive,same_sign,0.5783308931,0.50565987266,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt1_nominal,training,right_leg,right downcomer / cold vertical return,right_vertical,right_leg__s00,right_leg__s04,-4446.8913213,-7.8609471034,-14159.698688999999,-4.2801531530000005,negative,negative,same_sign,0.671875,0.56819364006,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt2_hi5q,holdout_perturbation,lower_leg,heater / bottom heated incline,heated_incline,lower_leg__s04,lower_leg__s00,-6338.72696128,5.38100841654,-7079.8769186,1.4500018763,negative,positive,different_sign,0.5405797101,0.39541091856,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_vs_p_rgh_net_sign_conflict_review,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;static_vs_p_rgh_branch_delta_sign_differs;recirculation_mask_blocks_single_stream_loss_fit,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt2_hi5q,holdout_perturbation,left_lower_leg,lower upcomer below test section,left_lower_vertical,left_lower_leg__s00,left_lower_leg__s04,-3281.49443682,-3.4182752770000002,-4699.3218219,-0.17755712800000012,negative,negative,same_sign,0.6319444444,0.62604166664,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit;upcomer_or_test_section_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt2_hi5q,holdout_perturbation,test_section_span,test section / middle upcomer,test_section,test_section_span__s00,test_section_span__s04,-8621.9835534,-1.8303324915999999,3800.54838,-0.49430165400000003,positive,negative,different_sign,0.3397683398,0.3281853282,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_vs_p_rgh_net_sign_conflict_review,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;static_vs_p_rgh_branch_delta_sign_differs;recirculation_mask_blocks_single_stream_loss_fit;upcomer_or_test_section_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt2_hi5q,holdout_perturbation,left_upper_leg,upper upcomer above test section,left_upper_vertical,left_upper_leg__s00,left_upper_leg__s04,-14441.491014,-3.0628535558000003,-5496.4824499999995,-16.285152587000002,negative,negative,same_sign,0.8415384615,0.76815670602,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit;upcomer_or_test_section_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt2_hi5q,holdout_perturbation,upper_leg,cooled leg / top cooled incline,top_horizontal_inlet;cooled_incline_pre_hx;cooled_incline_hx_active;cooled_incline_post_hx;top_horizontal_exit,upper_leg__s00,upper_leg__s04,-7333.276157400001,-0.4557167412000003,6949.384937000001,23.941520072000003,positive,positive,same_sign,0.5783308931,0.51214255664,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt2_hi5q,holdout_perturbation,right_leg,right downcomer / cold vertical return,right_vertical,right_leg__s00,right_leg__s04,-4405.55409478,-2.28649612922,-14042.63445,-1.7793906548999998,negative,negative,same_sign,0.671875,0.56248793434,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt2_lo5q,holdout_perturbation,lower_leg,heater / bottom heated incline,heated_incline,lower_leg__s04,lower_leg__s00,-6350.6075644,3.68424160986,-7092.099623,0.6204886213,negative,positive,different_sign,0.5405797101,0.39499075048,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_vs_p_rgh_net_sign_conflict_review,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;static_vs_p_rgh_branch_delta_sign_differs;recirculation_mask_blocks_single_stream_loss_fit,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt2_lo5q,holdout_perturbation,left_lower_leg,lower upcomer below test section,left_lower_vertical,left_lower_leg__s00,left_lower_leg__s04,-3287.84998196,-4.0017069484,-4707.7611902,-0.32259740300000006,negative,negative,same_sign,0.6458333333,0.64027777776,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit;upcomer_or_test_section_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt2_lo5q,holdout_perturbation,test_section_span,test section / middle upcomer,test_section,test_section_span__s00,test_section_span__s04,-8637.8701834,-3.082409467,3807.276500000001,-0.14363205200000007,positive,negative,different_sign,0.332046332,0.32277992278,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_vs_p_rgh_net_sign_conflict_review,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;static_vs_p_rgh_branch_delta_sign_differs;recirculation_mask_blocks_single_stream_loss_fit;upcomer_or_test_section_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt2_lo5q,holdout_perturbation,left_upper_leg,upper upcomer above test section,left_upper_vertical,left_upper_leg__s00,left_upper_leg__s04,-14467.713382,-4.5665591372000005,-5506.26196,-16.554340209000003,negative,negative,same_sign,0.8453846154,0.77206456768,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit;upcomer_or_test_section_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt2_lo5q,holdout_perturbation,upper_leg,cooled leg / top cooled incline,top_horizontal_inlet;cooled_incline_pre_hx;cooled_incline_hx_active;cooled_incline_post_hx;top_horizontal_exit,upper_leg__s00,upper_leg__s04,-7346.805230800001,-1.67908691,6961.590284000001,22.412931509,positive,positive,same_sign,0.5783308931,0.5074848185399999,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt2_lo5q,holdout_perturbation,right_leg,right downcomer / cold vertical return,right_vertical,right_leg__s00,right_leg__s04,-4413.94849732,-3.1291898938,-14067.424118,-2.41065385,negative,negative,same_sign,0.6756756757,0.56846846846,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt2_mainline,training,lower_leg,heater / bottom heated incline,heated_incline,lower_leg__s04,lower_leg__s00,-6344.226506880001,4.62053367814,-7085.587930600001,1.0521998591,negative,positive,different_sign,0.5405797101,0.39520083452,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_vs_p_rgh_net_sign_conflict_review,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;static_vs_p_rgh_branch_delta_sign_differs;recirculation_mask_blocks_single_stream_loss_fit,work_products/2026-07/2026-07-15/2026-07-15_pressure_ladder_unlock_sbatch/station_pressure_ladder.csv
salt2_mainline,training,left_lower_leg,lower upcomer below test section,left_lower_vertical,left_lower_leg__s00,left_lower_leg__s04,-3284.41335436,-3.6369709274,-4703.2759152,-0.255273093,negative,negative,same_sign,0.640625,0.6340277778,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit;upcomer_or_test_section_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_pressure_ladder_unlock_sbatch/station_pressure_ladder.csv
salt2_mainline,training,test_section_span,test section / middle upcomer,test_section,test_section_span__s00,test_section_span__s04,-8629.3635782,-2.3717487498,3803.700131999999,-0.31755787400000024,positive,negative,different_sign,0.3359073359,0.32548262548,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_vs_p_rgh_net_sign_conflict_review,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;static_vs_p_rgh_branch_delta_sign_differs;recirculation_mask_blocks_single_stream_loss_fit;upcomer_or_test_section_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_pressure_ladder_unlock_sbatch/station_pressure_ladder.csv
salt2_mainline,training,left_upper_leg,upper upcomer above test section,left_upper_vertical,left_upper_leg__s00,left_upper_leg__s04,-14453.700944,-3.7345944998000005,-5501.057649999999,-16.36067698,negative,negative,same_sign,0.8446153846,0.76980650372,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit;upcomer_or_test_section_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_pressure_ladder_unlock_sbatch/station_pressure_ladder.csv
salt2_mainline,training,upper_leg,cooled leg / top cooled incline,top_horizontal_inlet;cooled_incline_pre_hx;cooled_incline_hx_active;cooled_incline_post_hx;top_horizontal_exit,upper_leg__s00,upper_leg__s04,-7339.5485404,-0.9789373242000001,6955.108103999999,23.188516126,positive,positive,same_sign,0.5783308931,0.50964526228,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit,work_products/2026-07/2026-07-15/2026-07-15_pressure_ladder_unlock_sbatch/station_pressure_ladder.csv
salt2_mainline,training,right_leg,right downcomer / cold vertical return,right_vertical,right_leg__s00,right_leg__s04,-4409.42663028,-2.6316531971,-14054.233836,-2.1006755595,negative,negative,same_sign,0.6756756757,0.56707957958,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit,work_products/2026-07/2026-07-15/2026-07-15_pressure_ladder_unlock_sbatch/station_pressure_ladder.csv
