label,span,medium_gate,fine_gate,medium_status,fine_status,medium_section_mean_p_rgh_pa,fine_section_mean_p_rgh_pa,delta_section_mean_p_rgh_pa,delta_pct_section_mean_p_rgh_pa,medium_section_mean_total_pressure_pa,fine_section_mean_total_pressure_pa,delta_section_mean_total_pressure_pa,delta_pct_section_mean_total_pressure_pa,medium_dynamic_head_pa,fine_dynamic_head_pa,delta_dynamic_head_pa,delta_pct_dynamic_head_pa,medium_u_bulk_m_s,fine_u_bulk_m_s,delta_u_bulk_m_s,delta_pct_u_bulk_m_s,medium_flow_alignment,fine_flow_alignment,delta_flow_alignment,delta_pct_flow_alignment
lower_leg__s00,lower_leg,ok,ok,sampled,sampled,-5.20330660262,-5.14829336697,0.055013235643,1.05727453415,-5.0114395403,-4.95938197547,0.0520575648316,1.03877467568,0.191867062313,0.188911391502,-0.00295567081143,-1.54047848328,0.0140206072555,0.0139120771976,-0.000108530057827,-0.774075301087,0.99730048333,0.997255200514,-4.52828156129e-05,-0.00454053882153
lower_leg__s01,lower_leg,ok,ok,sampled,sampled,-2.51799449481,-2.43499930367,0.0829951911421,3.29608310554,-2.32871474709,-2.24226536212,0.0864493849695,3.71232178941,0.18927974772,0.192733941547,0.00345419382746,1.8249146404,0.0139201634526,0.0140466201892,0.000126456736555,0.908442900013,0.990754885375,0.991179159722,0.000424274346933,0.0428233413931
lower_leg__s02,lower_leg,ok,ok,sampled,sampled,-0.381758604484,-0.419746003017,-0.0379873985322,-9.9506332237,-0.189858447836,-0.229996714427,-0.0401382665916,-21.1411538697,0.191900156649,0.18974928859,-0.00215086805942,-1.12082663036,0.0140098665068,0.0139306690433,-7.91974634457e-05,-0.56529777359,0.991073934134,0.990648057612,-0.000425876521433,-0.0429712160481
lower_leg__s03,lower_leg,ok,ok,sampled,sampled,-0.168989579557,-0.23348347624,-0.0644938966826,-38.1644222393,0.0218876942938,-0.0504337506303,-0.0723214449241,-330.4205731,0.190877273851,0.18304972561,-0.00782754824152,-4.10082776414,0.0139644209512,0.013674715352,-0.000289705599256,-2.07459801067,0.993048117238,0.993321795993,0.000273678754982,0.0275594656725
lower_leg__s04,lower_leg,ok,ok,sampled,sampled,-8.9691976591,-9.10738362385,-0.138185964747,-1.54067253281,-8.79000786364,-8.93098413882,-0.140976275181,-1.60382422141,0.179189795455,0.176399485021,-0.00279031043371,-1.55718154967,0.0135118474467,0.0134057805876,-0.000106066859095,-0.78499153808,0.999646180939,0.999601686581,-4.44943579501e-05,-0.00445101064742
right_leg__s00,right_leg,ok,ok,sampled,sampled,-3.40937470447,-3.37360214818,0.0357725562875,1.04924097198,-3.21850978202,-3.1842981461,0.034211635914,1.06296510594,0.190864922452,0.189304002078,-0.00156092037353,-0.817814165892,0.0139479390773,0.0138905808996,-5.73581776851e-05,-0.411230486219,0.999999886049,0.999999890295,4.24668000765e-09,4.24668049156e-07
right_leg__s01,right_leg,ok,ok,sampled,sampled,0.374812724705,0.43142746827,0.0566147435657,15.104808304,0.564870676285,0.619960355608,0.0550896793234,9.75261801263,0.19005795158,0.188532887338,-0.00152506424235,-0.802420645741,0.013919421575,0.0138632950055,-5.61265694717e-05,-0.403224869435,0.999999841929,0.999999837154,-4.7751488319e-09,-4.77514958672e-07
right_leg__s02,right_leg,ok,ok,sampled,sampled,3.51602847309,3.55559308171,0.0395646086165,1.12526417005,3.70498565373,3.74296872354,0.0379830698154,1.02518804026,0.188957180639,0.187375641838,-0.00158153880104,-0.836982641088,0.0138801515427,0.0138218575468,-5.8293995978e-05,-0.419980976421,0.99999977356,0.99999976538,-8.18003687009e-09,-8.18003872238e-07
right_leg__s03,right_leg,ok,ok,sampled,sampled,5.74571521285,5.72983577052,-0.0158794423315,-0.276370160079,5.93323783758,5.91562932415,-0.0176085134315,-0.296777474855,0.187522624731,0.185793553631,-0.00172907110005,-0.922059992781,0.0138286716305,0.0137647819233,-6.38897072144e-05,-0.462008997838,0.999999692867,0.999999699449,6.58199861281e-09,6.58200063436e-07
right_leg__s04,right_leg,ok,ok,sampled,sampled,5.55607772448,5.50339090904,-0.0526868154441,-0.948273549378,5.74318793628,5.68886929293,-0.0543186433506,-0.945792545069,0.187110211797,0.185478383891,-0.00163182790649,-0.872121243843,0.0138157594814,0.0137554376842,-6.03217972107e-05,-0.436615860981,0.99996555677,0.999965951261,3.94491463607e-07,3.94505051635e-05
test_section_span__s00,test_section_span,ok,ok,sampled,sampled,-14.0827498095,-13.9946616414,0.0880881680618,0.625504033327,-13.8660481756,-13.7671455252,0.0989026503488,0.713272080815,0.216701633924,0.227516116211,0.010814482287,4.99049411451,0.0148867526364,0.0152536130595,0.000366860423148,2.46434149951,0.887358229116,0.885018992165,-0.00233923695126,-0.263618105349
test_section_span__s01,test_section_span,ok,ok,sampled,sampled,-14.2035705178,-14.0816083461,0.121962171734,0.858672624471,-13.9841389363,-13.8514063236,0.1327326127,0.949165431668,0.219431581466,0.230202022433,0.0107704409664,4.90833675556,0.0149807804027,0.0153439228976,0.000363142494867,2.42405592436,0.887983655414,0.8853376565,-0.00264599891384,-0.297978335266
test_section_span__s02,test_section_span,ok,ok,sampled,sampled,-13.8898057654,-13.7645909689,0.125214796492,0.901487022975,-13.6679564411,-13.5320119528,0.135944488332,0.994621902095,0.221849324302,0.232579016143,0.0107296918404,4.83647713334,0.0150633813548,0.0154232354718,0.000359854116952,2.38893319153,0.88934528784,0.886952804686,-0.0023924831536,-0.269016228715
test_section_span__s03,test_section_span,ok,ok,sampled,sampled,-13.4855927145,-13.3670814689,0.118511245649,0.87879893867,-13.26129101,-13.1321488842,0.129142125757,0.973827703957,0.224301704559,0.234932584668,0.0106308801088,4.73954494894,0.0151466939793,0.0155013725967,0.000354678617379,2.34162397328,0.892950362444,0.890990173025,-0.0019601894184,-0.219518295847
test_section_span__s04,test_section_span,ok,ok,sampled,sampled,-13.0996875036,-12.9994243929,0.100263110711,0.765385515363,-12.8741121486,-12.7633852478,0.110726900819,0.860074073773,0.225575355016,0.236039145124,0.010463790108,4.638711577,0.0151900663902,0.0155382851041,0.000348218713898,2.29241074366,0.903943526001,0.902393551401,-0.00154997459905,-0.171468078975
upper_leg__s00,upper_leg,ok,ok,sampled,sampled,-29.1814362588,-29.1358548595,0.0455813993311,0.156199985932,-28.9969218904,-28.9542766197,0.042645270701,0.147068267667,0.184514368406,0.181578239776,-0.00293612863011,-1.59127370701,0.0137406863365,0.0136308850446,-0.000109801291853,-0.799096123469,0.999348370094,0.999318044436,-3.03256584866e-05,-0.00303454324779
upper_leg__s01,upper_leg,ok,ok,sampled,sampled,-17.9351671558,-17.7068182647,0.228348891093,1.27319076042,-17.7545332787,-17.528750231,0.225783047647,1.27169238472,0.180633877148,0.178068033702,-0.00256584344577,-1.42046635232,0.0135901647056,0.0134931953079,-9.69693976651e-05,-0.713526287324,0.995896538523,0.995979132664,8.2594140919e-05,0.00829344592778
upper_leg__s02,upper_leg,ok,ok,sampled,sampled,11.38420485,11.910254449,0.526049598998,4.620872568,11.5694568866,12.0903517997,0.520894913105,4.50232814047,0.185252036649,0.180097350757,-0.00515468589214,-2.78252589574,0.0137490928571,0.0135562336691,-0.000192859188045,-1.40270481878,0.991765110417,0.991998257401,0.000233146984118,0.0235082865559
upper_leg__s03,upper_leg,ok,ok,sampled,sampled,15.250785612,15.0391476808,-0.211637931204,-1.38771822376,15.4399837424,15.2211485453,-0.218835197066,-1.41732789825,0.18919813039,0.182000864528,-0.00719726586165,-3.80408931463,0.0138911859004,0.0136245217261,-0.00026666417431,-1.91966457163,0.996379229641,0.996261805204,-0.000117424436284,-0.0117851148228
upper_leg__s04,upper_leg,ok,ok,sampled,sampled,13.6641998069,13.838904877,0.174705070079,1.27856056372,13.8524374616,14.0241053897,0.171667928154,1.23926152802,0.188237654638,0.185200512713,-0.00303714192481,-1.61346141432,0.0138549186112,0.0137426269653,-0.000112291645917,-0.810482176531,0.997681196,0.997660140513,-2.10554876298e-05,-0.00211044246541
