candidate_id,wall_candidate_id,cooler_candidate_id,lane,case_id,split_role,coupled_run_status,elapsed_s,root_status,qhx_total_W,qambient_total_W,mdot_error_pct,tp_rmse_K,tw_rmse_K,all_probe_rmse_K,coupled_gate,source_path
TSC1_test_section_only_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,TSC1_test_section_only_pipe_outer_wall_drive,HX_LUMPED_UA_NTU,test_section_wall_fluid_coupling,salt_4,holdout,completed,79.7156288,accepted,61.81654683,312.7750761,-6.712008354,39.594614,67.32997444,60.0547913,fail_vs_m3,Fluid solve_case with AGENT-522 wall thermal-circuit scenario
TSC1_test_section_only_pipe_outer_wall_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,TSC1_test_section_only_pipe_outer_wall_drive,HX_SEGMENTED_UA_NTU_N16,test_section_wall_fluid_coupling,salt_2,train,completed,101.6584493,accepted,60.4081542,242.286594,-2.924655591,17.06681571,59.54474915,50.28526726,train_not_admission_scored,Fluid solve_case with AGENT-522 wall thermal-circuit scenario
TSC1_test_section_only_pipe_outer_wall_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,TSC1_test_section_only_pipe_outer_wall_drive,HX_SEGMENTED_UA_NTU_N16,test_section_wall_fluid_coupling,salt_3,validation,completed,100.7688945,accepted,61.17702187,273.316464,-0.1411717123,25.90200409,61.75701909,53.21406801,fail_vs_m3,Fluid solve_case with AGENT-522 wall thermal-circuit scenario
TSC1_test_section_only_pipe_outer_wall_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,TSC1_test_section_only_pipe_outer_wall_drive,HX_SEGMENTED_UA_NTU_N16,test_section_wall_fluid_coupling,salt_4,holdout,completed,101.1059952,accepted,61.79462334,312.7969996,-6.707478499,39.58577677,67.34072137,60.06125462,fail_vs_m3,Fluid solve_case with AGENT-522 wall thermal-circuit scenario
TSC2_test_section_only_outer_surface_drive_PLUS_HX_LUMPED_UA_NTU,TSC2_test_section_only_outer_surface_drive,HX_LUMPED_UA_NTU,test_section_wall_fluid_coupling,salt_2,train,completed,80.49959457,accepted,65.95874245,236.7378992,3.505043718,7.52646311,64.18798003,53.38790993,train_not_admission_scored,Fluid solve_case with AGENT-522 wall thermal-circuit scenario
TSC2_test_section_only_outer_surface_drive_PLUS_HX_LUMPED_UA_NTU,TSC2_test_section_only_outer_surface_drive,HX_LUMPED_UA_NTU,test_section_wall_fluid_coupling,salt_3,validation,completed,79.94860822,accepted,67.07942708,267.416372,6.675596619,14.19911638,64.78692865,54.3017506,fail_vs_m3,Fluid solve_case with AGENT-522 wall thermal-circuit scenario
TSC2_test_section_only_outer_surface_drive_PLUS_HX_LUMPED_UA_NTU,TSC2_test_section_only_outer_surface_drive,HX_LUMPED_UA_NTU,test_section_wall_fluid_coupling,salt_4,holdout,completed,79.77524644,accepted,68.05032219,306.544216,-0.1213367096,26.81489144,67.62910831,58.04408412,fail_vs_m3,Fluid solve_case with AGENT-522 wall thermal-circuit scenario
TSC2_test_section_only_outer_surface_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,TSC2_test_section_only_outer_surface_drive,HX_SEGMENTED_UA_NTU_N16,test_section_wall_fluid_coupling,salt_2,train,completed,102.2662947,accepted,65.93474538,236.7618961,3.511801705,7.518774056,64.21198026,53.40740955,train_not_admission_scored,Fluid solve_case with AGENT-522 wall thermal-circuit scenario
TSC2_test_section_only_outer_surface_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,TSC2_test_section_only_outer_surface_drive,HX_SEGMENTED_UA_NTU_N16,test_section_wall_fluid_coupling,salt_3,validation,completed,102.344662,accepted,67.05611867,267.4396802,6.681465102,14.18844226,64.80724243,54.31754139,fail_vs_m3,Fluid solve_case with AGENT-522 wall thermal-circuit scenario
TSC2_test_section_only_outer_surface_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,TSC2_test_section_only_outer_surface_drive,HX_SEGMENTED_UA_NTU_N16,test_section_wall_fluid_coupling,salt_4,holdout,completed,101.3518769,accepted,68.02777897,306.5667588,-0.116764926,26.80511297,67.64472213,58.05518019,fail_vs_m3,Fluid solve_case with AGENT-522 wall thermal-circuit scenario
