case_key,source_case_key,canonical_case_key,source_id,case_id,fluid,variant_label,evidence_class,split_or_use_status,steady_or_needs_continuation,steady_state_detection_status,bc_summary_status,heater_power_W,cooling_power_W,T_init_K,heater_h_W_m2K,heater_Ta_K,heater_emissivity,cooler_h_W_m2K,cooler_Ta_K,test_section_h_W_m2K,test_section_Ta_K,insulated_h_W_m2K,insulated_Ta_K,two_d_radiation_on,mdot_mean_abs_kg_s,mdot_monitor_count,metadata_probe_T_avg_K,timeseries_probe_T_avg_K,timeseries_probe_T_min_K,timeseries_probe_T_max_K,timeseries_wall_T_avg_K,timeseries_heat_net_W,final_total_wall_heat_abs_W,heater_realized_wallHeatFlux_W,cooler_realized_wallHeatFlux_W,ambient_wall_realized_wallHeatFlux_W,test_section_realized_wallHeatFlux_W,area_weighted_external_h_W_m2K,q_ratio,current_split_family,terminal_harvest_state,closure_fit_admissible_terminal_gate,can_expand_training_now,can_score_validation_now,can_score_holdout_now,blocked_use,next_required_gate,pm5_final_window_start_s,pm5_final_window_end_s,pm5_final_window_row_count,pm5_total_Q_postProc_mean_W,pm5_ambient_proxy_mean_W,pm5_cooling_branch_total_removal_mean_W,pm5_section_heater_net_q_mean_W,pm5_section_test_section_net_q_mean_W,pm5_section_cooling_branch_net_q_mean_W,pm5_section_downcomer_net_q_mean_W,pm5_section_upcomer_net_q_mean_W,pm5_section_junctions_net_q_mean_W,pm5_radiation_semantics,pm5_runtime_use_guardrail,missing_result_reason,source_root,evidence_paths
salt2_jin_hi10q_corrected,salt2_jin_hi10q_corrected,salt2_jin_hi10q_corrected,viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,,salt2,,diagnostic,context row; not current admitted split evidence,needs continuation,running_pending_terminal_last_window,case_level_only_or_missing,,,,,,,,,,,,,,0.014132936,1,,452.434913,446.044409,456.150602,452.5986,8.048835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing,work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/steady_state_summary.csv;reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv
salt2_jin_hiins_loH,salt2_jin_hiins_loH,salt2_jin_hiins_loH,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_test_2_jin,salt2,jin,diagnostic,context row; not current admitted split evidence,needs continuation,hydraulic_stationary_heat_drifting,patch_role_summary_available,265.7,56.34,447.0,8.761,300.0,0.25,29.81733062574886,343.315,5.964,300.0,5.964,300.0,False,0.013202786,1,447.9023393333333,448.501676,441.767629,452.406423,449.017571,0.956299,0.362005,243.519098,-136.35074,-62.233907,-5.679836,4.876287,,,,,,,,,,,,,,,,,,,,,,,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_2_jin_coarse_mesh,reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv;work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/steady_state_summary.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv;reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv
salt2_jin_hiq_balq,salt2_jin_hiq_balq,salt2_jin_hiq_balq,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_test_2_jin,salt2,jin,diagnostic,context row; not current admitted split evidence,needs continuation,hydraulic_stationary_heat_drifting,patch_role_summary_available,265.7,56.34,447.0,8.761,300.0,0.25,29.81733062574886,343.315,5.964,300.0,5.964,300.0,False,0.013160448,1,447.9023393333333,447.866783,441.213164,451.78315,,0.364156,0.362005,243.519098,-136.35074,-62.233907,-5.679836,4.876287,,,,,,,,,,,,,,,,,,,,,,,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_2_jin_coarse_mesh,reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv;work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/steady_state_summary.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv;reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv
salt2_jin_lo10q_corrected,salt2_jin_lo10q_corrected,salt2_jin_lo10q_corrected,viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,,salt2,,diagnostic,context row; not current admitted split evidence,needs continuation,running_pending_terminal_last_window,case_level_only_or_missing,,,,,,,,,,,,,,0.012174577,1,,443.495217,436.43658,447.573793,444.326908,-6.63356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing,work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/steady_state_summary.csv;reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv
salt2_jin_loins_hiH,salt2_jin_loins_hiH,salt2_jin_loins_hiH,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_test_2_jin,salt2,jin,diagnostic,context row; not current admitted split evidence,needs continuation,hydraulic_stationary_heat_drifting,patch_role_summary_available,265.7,56.34,447.0,8.761,300.0,0.25,29.81733062574886,343.315,5.964,300.0,5.964,300.0,False,0.013197881,1,447.9023393333333,448.366174,441.611899,452.289939,448.866848,-0.888648,0.362005,243.519098,-136.35074,-62.233907,-5.679836,4.876287,,,,,,,,,,,,,,,,,,,,,,,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_2_jin_coarse_mesh,reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv;work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/steady_state_summary.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv;reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv
salt2_jin_optins,salt2_jin_optins,salt2_jin_optins,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_test_2_jin,salt2,jin,diagnostic,context row; not current admitted split evidence,needs continuation,hydraulic_stationary_heat_drifting,patch_role_summary_available,265.7,56.34,447.0,8.761,300.0,0.25,29.81733062574886,343.315,5.964,300.0,5.964,300.0,False,0.013160448,1,447.9023393333333,447.866783,441.213164,451.78315,448.385877,0.364156,0.362005,243.519098,-136.35074,-62.233907,-5.679836,4.876287,,,,,,,,,,,,,,,,,,,,,,,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_2_jin_coarse_mesh,reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv;work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/steady_state_summary.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv;reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv
salt3_jin_hi10q_corrected,salt3_jin_hi10q_corrected,salt3_jin_hi10q_corrected,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,,salt3,,diagnostic,context row; not current admitted split evidence,needs continuation,mdot_drifting_not_steady,case_level_only_or_missing,,,,,,,,,,,,,,0.01514119,1,,462.092018,456.202077,465.505265,461.766305,14.704279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing,work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/steady_state_summary.csv;reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv
salt3_jin_hi5q_corrected,salt3_jin_hi5q_corrected,salt3_jin_hi5q_corrected,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,,salt3,,diagnostic,context row; not current admitted split evidence,needs continuation,mdot_drifting_not_steady,case_level_only_or_missing,,,,,,,,,,,,,,0.015077336,1,,462.095071,456.201588,465.50643,461.746751,7.487679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing,work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/steady_state_summary.csv;reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv
salt3_jin_lo10q_corrected,salt3_jin_lo10q_corrected,salt3_jin_lo10q_corrected,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,,salt3,,diagnostic,context row; not current admitted split evidence,needs continuation,hydraulic_stationary_heat_drifting,case_level_only_or_missing,,,,,,,,,,,,,,0.014002264,1,,457.634104,451.201828,461.300552,457.623423,-8.599806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing,work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/steady_state_summary.csv;reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv
salt3_jin_lo5q_corrected,salt3_jin_lo5q_corrected,salt3_jin_lo5q_corrected,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,,salt3,,diagnostic,context row; not current admitted split evidence,needs continuation,hydraulic_stationary_heat_drifting,case_level_only_or_missing,,,,,,,,,,,,,,0.014507733,1,,459.935852,453.690496,463.484649,459.748974,-4.25759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing,work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/steady_state_summary.csv;reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv
salt3_jin_optins,salt3_jin_optins,salt3_jin_optins,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_test_3_jin,salt3,jin,diagnostic,context row; not current admitted split evidence,needs continuation,hydraulic_stationary_heat_drifting,patch_role_summary_available,297.5,60.55,459.0,8.761,300.0,0.25,29.871708360729436,347.77,5.964,300.0,5.964,300.0,False,0.014926054,1,461.26648033333333,461.196727,455.324907,464.627029,460.843266,1.008256,0.972496,273.155375,-150.769639,-68.319699,-10.54504,4.967118,,,,,,,,,,,,,,,,,,,,,,,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_3_jin_coarse_mesh,reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv;work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/steady_state_summary.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv;reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv
salt4_jin_hi10q_corrected,salt4_jin_hi10q_corrected,salt4_jin_hi10q_corrected,viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,,salt4,,diagnostic,context row; not current admitted split evidence,needs continuation,running_pending_terminal_last_window,case_level_only_or_missing,,,,,,,,,,,,,,0.018232085,1,,482.302062,478.865655,485.087818,481.131799,10.545548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing,work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/steady_state_summary.csv;reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv
salt4_jin_hiq_hiins_job3246562_failed_missing_system_controlDict,salt4_jin_hiq_hiins_job3246562_failed_missing_system_controlDict,salt4_jin_hiq_hiins_job3246562_failed_missing_system_controlDict,viscosity_screening_salt_test_4_jin_coarse_mesh,salt_test_4_jin,salt4,jin,diagnostic,context row; not current admitted split evidence,,steady,patch_role_summary_available,337.6,65.98,475.0,8.761,300.0,0.25,29.686756197250634,353.03999999999996,5.964,300.0,5.964,300.0,False,0.017071656,1,477.37963333333335,,,,476.833235,,0.37241,310.487058,-169.226814,-75.927117,-16.768686,5.09419,,,,,,,,,,,,,,,,,,,,,,,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_4_jin_coarse_mesh,reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv;work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/steady_state_summary.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv;reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv
salt4_jin_lo10q_corrected,salt4_jin_lo10q_corrected,salt4_jin_lo10q_corrected,viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,,salt4,,diagnostic,context row; not current admitted split evidence,needs continuation,running_pending_terminal_last_window,case_level_only_or_missing,,,,,,,,,,,,,,0.015940268,1,,473.281499,468.530059,476.349306,472.490852,-10.204888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing,work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/steady_state_summary.csv;reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv
salt4_jin_optins,salt4_jin_optins,salt4_jin_optins,viscosity_screening_salt_test_4_jin_coarse_mesh,salt_test_4_jin,salt4,jin,diagnostic,context row; not current admitted split evidence,needs continuation,hydraulic_stationary_heat_drifting,patch_role_summary_available,337.6,65.98,475.0,8.761,300.0,0.25,29.686756197250634,353.03999999999996,5.964,300.0,5.964,300.0,False,0.017071656,1,477.37963333333335,477.843642,474.250863,480.709478,476.833235,0.187829,0.37241,310.487058,-169.226814,-75.927117,-16.768686,5.09419,,,,,,,,,,,,,,,,,,,,,,,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_4_jin_coarse_mesh,reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv;work_products/2026-07/2026-07-09/2026-07-09_timeseries_steadystate/steady_state_summary.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv;reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv
salt_test_1_kirst,salt_test_1_kirst,salt_test_1_kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,salt_test_1_kirst,hitec_salt_kirst,kirst,diagnostic,Kirst rows are historical/context unless explicitly re-admitted,,,case_level_only_or_missing,232.3,55.58,440.0,8.761,300.0,0.25,31.29071065643277,342.53,5.964,300.0,5.964,300.0,False,,,429.4821175,,,,,,9.48783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no mdot aggregate available in joined sources,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_1_kirst_coarse_mesh,reports/2026-06/2026-06-02/2026-06-02_ethan_case_metadata_index/ethan_case_metadata_index.csv;AGENTS.md repo-specific operating rules
