case_id,component_id,cell_count,fraction_of_reverse_candidates,cx_min,cx_max,cy_min,cy_max,cz_min,cz_max,mean_uy,status
salt_4,1,23087,0.1649142106090261,0.8734840154647827,0.9282619953155518,0.691591739654541,0.7977534830570221,-0.011125724762678146,0.011966199846938252,0.0033384373411525546,stray_component
salt_4,2,22327,0.15948540651742218,0.8707674741744995,0.9114465117454529,-0.3136885017156601,-0.23292699828743935,-0.011010437505319715,0.011010437505319715,0.0014171072517850964,stray_component
salt_4,3,11602,0.08287498035630099,0.7510336264967918,0.845612496137619,0.6937447488307953,0.7138727456331253,-0.01090657478198409,0.01090657478198409,0.0018303614406481683,stray_component
salt_4,4,2552,0.018229352686543708,0.9136990010738373,0.9310169816017151,-0.25760024040937424,-0.23292699828743935,-0.009424132527783513,0.009424132527783513,0.0001232781595336991,stray_component
salt_4,5,1959,0.013993456862436962,0.9043485224246979,0.9282619953155518,-0.25792424380779266,-0.2515372484922409,-0.010414367308840156,0.010414367308840156,0.00010511420389433391,stray_component
salt_4,6,1681,0.012007657471034473,0.7957810163497925,0.845612496137619,0.6933735013008118,0.701444998383522,0.002132187510142103,0.00988493231125176,0.00029695610053539616,stray_component
salt_4,7,1665,0.011893366858579654,0.7957810163497925,0.844479501247406,0.6933735013008118,0.701444998383522,-0.00988493231125176,-0.002132187510142103,0.00029709528084084124,stray_component
salt_4,8,417,0.002978699087103733,0.9272150099277496,0.9298880100250244,0.6919157356023788,0.7026980072259903,-0.00927523011341691,0.008802324999123812,0.00015250960446043182,stray_component
salt_4,9,203,0.0014500621455205223,0.8765502572059631,0.8795477449893951,0.6873375177383423,0.6943231299519539,-0.0062327824998646975,0.007308848842512816,0.0014355926748768468,stray_component
salt_4,10,114,0.0008143206137405888,0.9282619953155518,0.9310169816017151,0.7133652567863464,0.7165882587432861,-0.003796557488385588,0.002380227524554357,8.896632245614031e-05,stray_component
salt_4,11,84,0.0006000257153878023,0.8766127526760101,0.8795934915542603,0.6837095022201538,0.6859675049781799,-0.002132187510142103,0.004835972446016967,0.0008137984083333331,stray_component
salt_4,12,29,0.00020715173507436033,0.9215834736824036,0.9249625205993652,0.7011849880218506,0.7046242505311966,-0.005228727590292692,-0.0005341825017239898,6.1005120689655165e-05,stray_component
salt_4,13,4,2.8572653113704873e-05,0.8991569951176643,0.8993176221847534,-0.2563825026154518,-0.25617412850260735,-0.002263578731799498,0.002263578731799498,4.6285725000000005e-05,stray_component
salt_4,14,4,2.8572653113704873e-05,0.9051894843578339,0.9054369926452637,0.7163742482662201,0.7165882587432861,-0.0024435550440102816,0.0008191899978555739,5.8281375e-06,stray_component
salt_4,15,4,2.8572653113704873e-05,0.8693954944610596,0.8693954944610596,0.7145920097827911,0.7149965018033981,-0.002132187510142103,-0.0007007874955888838,2.8491275000000004e-05,stray_component
salt_4,16,3,2.1429489835278656e-05,0.8707674741744995,0.8707674741744995,0.7148487418889999,0.7150589972734451,-0.0021444449375849217,-0.0007048150000628084,1.8373136666666667e-05,stray_component
salt_4,17,3,2.1429489835278656e-05,0.8957703709602356,0.897301621735096,0.69318787753582,0.6943231299519539,-0.007308848842512816,-0.0050251862267032266,0.0002696623333333333,stray_component
