source_id,salt_label,patch_group,patch_names,bc_type,bc_sign_convention,wallHeatFlux_integral_W,span,T_bulk_inlet_K,T_bulk_outlet_K,T_bulk_span_K,mdot_kg_s,enthalpy_change_W,residual_W,residual_fraction,radiation_present,note
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,ambient_wall,"pipeleg_lower_01_fitting, pipeleg_lower_02_straight, pipeleg_lower_03_bend, pipeleg_lower_07_bend, pipeleg_lower_08_straight, pipeleg_lower_09_fitting",rcExternalTemperature,removed_from_fluid,-7.3273,lower_leg,,,457.2819,0.01499,,,,False,wallHeatFlux from t=7618s; T_bulk_inlet/outlet not separately available; enthalpy_change_W=NaN
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,ambient_wall,"pipeleg_left_01_upper, pipeleg_left_02_connector, pipeleg_left_03_fitting, pipeleg_left_05_fitting, pipeleg_left_06_connector, pipeleg_left_07_lower",rcExternalTemperature,removed_from_fluid,-22.0739,upcomer,,,469.5229,0.01499,,,,False,wallHeatFlux from t=7618s; T_bulk_inlet/outlet not separately available; enthalpy_change_W=NaN
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,cooler,"pipeleg_upper_04_reducer, pipeleg_upper_05_cooler, pipeleg_upper_06_reducer",externalTemperature,removed_from_fluid,-150.7696,cooling_branch,,,,0.01499,,,,False,wallHeatFlux from t=7618s
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,heater,"pipeleg_lower_04_straight, pipeleg_lower_05_straight, pipeleg_lower_06_straight",rcExternalTemperature,imposed_into_fluid,273.1554,lower_leg,,,457.2819,0.01499,,,,False,wallHeatFlux from t=7618s; T_bulk_inlet/outlet not separately available; enthalpy_change_W=NaN
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,junction_other,"junction_lower_left, junction_lower_left_left_extension, junction_lower_left_left_step, junction_lower_left_left_stub, junction_lower_left_lower_extension, junction_lower_left_lower_stub, junction_lower_right, junction_lower_right_lower_extension, junction_lower_right_lower_stub, junction_lower_right_right_extension, junction_lower_right_right_step, junction_lower_right_right_stub, junction_upper_left, junction_upper_left_upper_extension, junction_upper_left_upper_stub, junction_upper_right, junction_upper_right_right_extension, junction_upper_right_right_step, junction_upper_right_right_stub, junction_upper_right_upper_extension, junction_upper_right_upper_stub, ncc_junction_lower_left_right_end, ncc_junction_lower_left_upper_start, ncc_junction_lower_right_left_start, ncc_junction_lower_right_upper_end, ncc_junction_upper_left_lower_end, ncc_junction_upper_left_right_start, ncc_junction_upper_right_left_end, ncc_junction_upper_right_lower_start","externalTemperature, rcExternalTemperature, zeroGradient",removed_from_fluid,-43.2347,junction,,,,0.01499,,,,False,"wallHeatFlux from t=7618s; junction patches include stubs, extensions, and corner volumes"
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,test_section,pipeleg_left_04_test_section,rcExternalTemperature,imposed_into_fluid,-10.545,upcomer,,,469.5229,0.01499,,,,False,wallHeatFlux from t=7618s; T_bulk_inlet/outlet not separately available; enthalpy_change_W=NaN
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,ambient_wall,"pipeleg_upper_01_straight, pipeleg_upper_02_bend, pipeleg_upper_03_straight, pipeleg_upper_07_straight, pipeleg_upper_08_bend, pipeleg_upper_09_straight",rcExternalTemperature,removed_from_fluid,-15.0871,cooling_branch,,,,0.017116,,,,False,wallHeatFlux from t=10000s
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,ambient_wall,"pipeleg_right_01_lower, pipeleg_right_02_middle, pipeleg_right_03_upper",rcExternalTemperature,removed_from_fluid,-28.1246,downcomer,,,,0.017116,,,,False,wallHeatFlux from t=10000s
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,ambient_wall,"pipeleg_lower_01_fitting, pipeleg_lower_02_straight, pipeleg_lower_03_bend, pipeleg_lower_07_bend, pipeleg_lower_08_straight, pipeleg_lower_09_fitting",rcExternalTemperature,removed_from_fluid,-8.1555,lower_leg,,,472.5491,0.017116,,,,False,wallHeatFlux from t=10000s; T_bulk_inlet/outlet not separately available; enthalpy_change_W=NaN
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,ambient_wall,"pipeleg_left_01_upper, pipeleg_left_02_connector, pipeleg_left_03_fitting, pipeleg_left_05_fitting, pipeleg_left_06_connector, pipeleg_left_07_lower",rcExternalTemperature,removed_from_fluid,-24.5599,upcomer,,,484.9286,0.017116,,,,False,wallHeatFlux from t=10000s; T_bulk_inlet/outlet not separately available; enthalpy_change_W=NaN
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,cooler,"pipeleg_upper_04_reducer, pipeleg_upper_05_cooler, pipeleg_upper_06_reducer",externalTemperature,removed_from_fluid,-169.2268,cooling_branch,,,,0.017116,,,,False,wallHeatFlux from t=10000s
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,heater,"pipeleg_lower_04_straight, pipeleg_lower_05_straight, pipeleg_lower_06_straight",rcExternalTemperature,imposed_into_fluid,310.4871,lower_leg,,,472.5491,0.017116,,,,False,wallHeatFlux from t=10000s; T_bulk_inlet/outlet not separately available; enthalpy_change_W=NaN
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,junction_other,"junction_lower_left, junction_lower_left_left_extension, junction_lower_left_left_step, junction_lower_left_left_stub, junction_lower_left_lower_extension, junction_lower_left_lower_stub, junction_lower_right, junction_lower_right_lower_extension, junction_lower_right_lower_stub, junction_lower_right_right_extension, junction_lower_right_right_step, junction_lower_right_right_stub, junction_upper_left, junction_upper_left_upper_extension, junction_upper_left_upper_stub, junction_upper_right, junction_upper_right_right_extension, junction_upper_right_right_step, junction_upper_right_right_stub, junction_upper_right_upper_extension, junction_upper_right_upper_stub, ncc_junction_lower_left_right_end, ncc_junction_lower_left_upper_start, ncc_junction_lower_right_left_start, ncc_junction_lower_right_upper_end, ncc_junction_upper_left_lower_end, ncc_junction_upper_left_right_start, ncc_junction_upper_right_left_end, ncc_junction_upper_right_lower_start","externalTemperature, rcExternalTemperature, zeroGradient",removed_from_fluid,-48.4852,junction,,,,0.017116,,,,False,"wallHeatFlux from t=10000s; junction patches include stubs, extensions, and corner volumes"
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,test_section,pipeleg_left_04_test_section,rcExternalTemperature,imposed_into_fluid,-16.7687,upcomer,,,484.9286,0.017116,,,,False,wallHeatFlux from t=10000s; T_bulk_inlet/outlet not separately available; enthalpy_change_W=NaN
