row_id,row_family,source_agent,source_artifact,case_id,split_role,model_form,mode_or_role,admission_class,forward_v1_use,runtime_inputs_allowed,runtime_inputs_forbidden,fit_source,score_source,key_metric_1,key_metric_2,key_metric_3,blocker,next_action,source_path
WALLHEATFLUX_REPLAY_salt_2_upcomer_test_section,realized_wallheatflux_replay,AGENT-392,external_bc_thermal_profile_parity_refresh/source_sink_parity_contract.csv,salt_2,diagnostic_replay,realized_CFD_wallHeatFlux_replay,upcomer::test_section,diagnostic_replay_not_predictive,residual_attribution_and_sign_radiation_policy_only,realized wallHeatFlux only in explicitly labeled diagnostic replay,predictive runtime wallHeatFlux replay; separate radiation add-on,not_fit_row,CFD realized wallHeatFlux readback,imposed_Q_W=37.0,realized_wallHeatFlux_W=-5.679836082,realized_minus_imposed_W=-42.679836082,realized CFD wallHeatFlux contains inseparable rcExternalTemperature radiation; replay is leakage if used predictively,use to localize residuals and verify sign policy; keep out of final predictive runtime,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/external_bc_thermal_profile_parity_refresh/source_sink_parity_contract.csv
WALLHEATFLUX_REPLAY_salt_2_cooling_branch_cooler,realized_wallheatflux_replay,AGENT-392,external_bc_thermal_profile_parity_refresh/source_sink_parity_contract.csv,salt_2,diagnostic_replay,realized_CFD_wallHeatFlux_replay,cooling_branch::cooler,diagnostic_replay_not_predictive,residual_attribution_and_sign_radiation_policy_only,realized wallHeatFlux only in explicitly labeled diagnostic replay,predictive runtime wallHeatFlux replay; separate radiation add-on,not_fit_row,CFD realized wallHeatFlux readback,imposed_Q_W=-136.350739906,realized_wallHeatFlux_W=-136.35074,realized_minus_imposed_W=-9.4e-08,realized CFD wallHeatFlux contains inseparable rcExternalTemperature radiation; replay is leakage if used predictively,use to localize residuals and verify sign policy; keep out of final predictive runtime,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/external_bc_thermal_profile_parity_refresh/source_sink_parity_contract.csv
WALLHEATFLUX_REPLAY_salt_2_junction_junction_other,realized_wallheatflux_replay,AGENT-392,external_bc_thermal_profile_parity_refresh/source_sink_parity_contract.csv,salt_2,diagnostic_replay,realized_CFD_wallHeatFlux_replay,junction::junction_other,diagnostic_replay_not_predictive,residual_attribution_and_sign_radiation_policy_only,realized wallHeatFlux only in explicitly labeled diagnostic replay,predictive runtime wallHeatFlux replay; separate radiation add-on,not_fit_row,CFD realized wallHeatFlux readback,imposed_Q_W=0.0,realized_wallHeatFlux_W=-39.128349537,realized_minus_imposed_W=-39.128349537,realized CFD wallHeatFlux contains inseparable rcExternalTemperature radiation; replay is leakage if used predictively,use to localize residuals and verify sign policy; keep out of final predictive runtime,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/external_bc_thermal_profile_parity_refresh/source_sink_parity_contract.csv
WALLHEATFLUX_REPLAY_salt_3_lower_leg_heater,realized_wallheatflux_replay,AGENT-392,external_bc_thermal_profile_parity_refresh/source_sink_parity_contract.csv,salt_3,diagnostic_replay,realized_CFD_wallHeatFlux_replay,lower_leg::heater,diagnostic_replay_not_predictive,residual_attribution_and_sign_radiation_policy_only,realized wallHeatFlux only in explicitly labeled diagnostic replay,predictive runtime wallHeatFlux replay; separate radiation add-on,not_fit_row,CFD realized wallHeatFlux readback,imposed_Q_W=297.5,realized_wallHeatFlux_W=273.15537485,realized_minus_imposed_W=-24.34462515,realized CFD wallHeatFlux contains inseparable rcExternalTemperature radiation; replay is leakage if used predictively,use to localize residuals and verify sign policy; keep out of final predictive runtime,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/external_bc_thermal_profile_parity_refresh/source_sink_parity_contract.csv
WALLHEATFLUX_REPLAY_salt_3_upcomer_test_section,realized_wallheatflux_replay,AGENT-392,external_bc_thermal_profile_parity_refresh/source_sink_parity_contract.csv,salt_3,diagnostic_replay,realized_CFD_wallHeatFlux_replay,upcomer::test_section,diagnostic_replay_not_predictive,residual_attribution_and_sign_radiation_policy_only,realized wallHeatFlux only in explicitly labeled diagnostic replay,predictive runtime wallHeatFlux replay; separate radiation add-on,not_fit_row,CFD realized wallHeatFlux readback,imposed_Q_W=37.0,realized_wallHeatFlux_W=-10.54504039,realized_minus_imposed_W=-47.54504039,realized CFD wallHeatFlux contains inseparable rcExternalTemperature radiation; replay is leakage if used predictively,use to localize residuals and verify sign policy; keep out of final predictive runtime,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/external_bc_thermal_profile_parity_refresh/source_sink_parity_contract.csv
WALLHEATFLUX_REPLAY_salt_3_cooling_branch_cooler,realized_wallheatflux_replay,AGENT-392,external_bc_thermal_profile_parity_refresh/source_sink_parity_contract.csv,salt_3,diagnostic_replay,realized_CFD_wallHeatFlux_replay,cooling_branch::cooler,diagnostic_replay_not_predictive,residual_attribution_and_sign_radiation_policy_only,realized wallHeatFlux only in explicitly labeled diagnostic replay,predictive runtime wallHeatFlux replay; separate radiation add-on,not_fit_row,CFD realized wallHeatFlux readback,imposed_Q_W=-150.769638673,realized_wallHeatFlux_W=-150.76963867,realized_minus_imposed_W=3e-09,realized CFD wallHeatFlux contains inseparable rcExternalTemperature radiation; replay is leakage if used predictively,use to localize residuals and verify sign policy; keep out of final predictive runtime,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/external_bc_thermal_profile_parity_refresh/source_sink_parity_contract.csv
WALLHEATFLUX_REPLAY_salt_3_junction_junction_other,realized_wallheatflux_replay,AGENT-392,external_bc_thermal_profile_parity_refresh/source_sink_parity_contract.csv,salt_3,diagnostic_replay,realized_CFD_wallHeatFlux_replay,junction::junction_other,diagnostic_replay_not_predictive,residual_attribution_and_sign_radiation_policy_only,realized wallHeatFlux only in explicitly labeled diagnostic replay,predictive runtime wallHeatFlux replay; separate radiation add-on,not_fit_row,CFD realized wallHeatFlux readback,imposed_Q_W=0.0,realized_wallHeatFlux_W=-43.234690515,realized_minus_imposed_W=-43.234690515,realized CFD wallHeatFlux contains inseparable rcExternalTemperature radiation; replay is leakage if used predictively,use to localize residuals and verify sign policy; keep out of final predictive runtime,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/external_bc_thermal_profile_parity_refresh/source_sink_parity_contract.csv
WALLHEATFLUX_REPLAY_salt_4_lower_leg_heater,realized_wallheatflux_replay,AGENT-392,external_bc_thermal_profile_parity_refresh/source_sink_parity_contract.csv,salt_4,diagnostic_replay,realized_CFD_wallHeatFlux_replay,lower_leg::heater,diagnostic_replay_not_predictive,residual_attribution_and_sign_radiation_policy_only,realized wallHeatFlux only in explicitly labeled diagnostic replay,predictive runtime wallHeatFlux replay; separate radiation add-on,not_fit_row,CFD realized wallHeatFlux readback,imposed_Q_W=337.6,realized_wallHeatFlux_W=310.4870585,realized_minus_imposed_W=-27.1129415,realized CFD wallHeatFlux contains inseparable rcExternalTemperature radiation; replay is leakage if used predictively,use to localize residuals and verify sign policy; keep out of final predictive runtime,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/external_bc_thermal_profile_parity_refresh/source_sink_parity_contract.csv
WALLHEATFLUX_REPLAY_salt_4_upcomer_test_section,realized_wallheatflux_replay,AGENT-392,external_bc_thermal_profile_parity_refresh/source_sink_parity_contract.csv,salt_4,diagnostic_replay,realized_CFD_wallHeatFlux_replay,upcomer::test_section,diagnostic_replay_not_predictive,residual_attribution_and_sign_radiation_policy_only,realized wallHeatFlux only in explicitly labeled diagnostic replay,predictive runtime wallHeatFlux replay; separate radiation add-on,not_fit_row,CFD realized wallHeatFlux readback,imposed_Q_W=37.0,realized_wallHeatFlux_W=-16.76868551,realized_minus_imposed_W=-53.76868551,realized CFD wallHeatFlux contains inseparable rcExternalTemperature radiation; replay is leakage if used predictively,use to localize residuals and verify sign policy; keep out of final predictive runtime,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/external_bc_thermal_profile_parity_refresh/source_sink_parity_contract.csv
WALLHEATFLUX_REPLAY_salt_4_cooling_branch_cooler,realized_wallheatflux_replay,AGENT-392,external_bc_thermal_profile_parity_refresh/source_sink_parity_contract.csv,salt_4,diagnostic_replay,realized_CFD_wallHeatFlux_replay,cooling_branch::cooler,diagnostic_replay_not_predictive,residual_attribution_and_sign_radiation_policy_only,realized wallHeatFlux only in explicitly labeled diagnostic replay,predictive runtime wallHeatFlux replay; separate radiation add-on,not_fit_row,CFD realized wallHeatFlux readback,imposed_Q_W=-169.226815038,realized_wallHeatFlux_W=-169.22681377,realized_minus_imposed_W=1.268e-06,realized CFD wallHeatFlux contains inseparable rcExternalTemperature radiation; replay is leakage if used predictively,use to localize residuals and verify sign policy; keep out of final predictive runtime,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/external_bc_thermal_profile_parity_refresh/source_sink_parity_contract.csv
WALLHEATFLUX_REPLAY_salt_4_junction_junction_other,realized_wallheatflux_replay,AGENT-392,external_bc_thermal_profile_parity_refresh/source_sink_parity_contract.csv,salt_4,diagnostic_replay,realized_CFD_wallHeatFlux_replay,junction::junction_other,diagnostic_replay_not_predictive,residual_attribution_and_sign_radiation_policy_only,realized wallHeatFlux only in explicitly labeled diagnostic replay,predictive runtime wallHeatFlux replay; separate radiation add-on,not_fit_row,CFD realized wallHeatFlux readback,imposed_Q_W=0.0,realized_wallHeatFlux_W=-48.485215891,realized_minus_imposed_W=-48.485215891,realized CFD wallHeatFlux contains inseparable rcExternalTemperature radiation; replay is leakage if used predictively,use to localize residuals and verify sign policy; keep out of final predictive runtime,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/external_bc_thermal_profile_parity_refresh/source_sink_parity_contract.csv
