path,category,kind,purpose,typical_inputs,typical_outputs,safe_example,when_to_use,when_not_to_use,safety
tools/analyze/build_2026_07_15_powerpoint_deck.py,analysis and package builders,python,"Build July 15 presentation figures and a PPTX deck. The environment does not provide python-pptx, so this script creates presentation-ready PNG figures, full-slide PNG renderings, and then packages the slide PNGs into...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_2026_07_15_powerpoint_deck.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_3d_1d_heat_loss_alignment.py,analysis and package builders,python,"Build a diagnostic 3D-vs-1D heat-loss alignment package. This package compares where Ethan CFD adds/removes heat against where existing fixed-mdot 1D replay modes add/remove heat. It is a diagnostic parity product, no...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_3d_1d_heat_loss_alignment.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_active_row_cleanup_and_forward_work_readiness.py,analysis and package builders,python,Audit active board rows and forward-v1 work readiness. This is a coordination/readiness package. It parses the active board and local status files only; it does not inspect scheduler state live or mutate generated ind...,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_active_row_cleanup_and_forward_work_readiness.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_agent373_hydraulic_chain_node_verification.py,analysis and package builders,python,Verify AGENT-373 hydraulic chain rerun and final admission lanes.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_agent373_hydraulic_chain_node_verification.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_all_salt_behavior_package.py,analysis and package builders,python,all salt behavior package,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_all_salt_behavior_package.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_best_predictive_heat_loss_discrepancy.py,analysis and package builders,python,Compare best current predictive-style heat losses against CFD by leg.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_best_predictive_heat_loss_discrepancy.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_blocker_research_path_next_step_synthesis.py,analysis and package builders,python,"Build AGENT-539 blocker, research-path, and next-step synthesis.",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_blocker_research_path_next_step_synthesis.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_blocker_resolution_plan.py,analysis and package builders,python,"Build a rigorous blocker-resolution plan for the current CFD-to-1D work. The output is intentionally a plan package, not a scientific-result package. It turns the current blocker register into three executable researc...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_blocker_resolution_plan.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_blocker_resolution_wave_implementation.py,analysis and package builders,python,Build AGENT-413 blocker-resolution wave artifacts. This package consolidates current July 15 evidence without mutating native CFD outputs or registry admission state. It is intentionally conservative: rows are made re...,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_blocker_resolution_wave_implementation.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_boundary_internal_nu_residual_guardrails.py,analysis and package builders,python,Build boundary/internal-Nu residual ownership guardrails. The package converts the internal-Nu zero-fit decision and upcomer recirculation admission rule into boundary-model guardrails. It is a policy and extraction-c...,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_boundary_internal_nu_residual_guardrails.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_boundary_layer_development_scorecard.py,analysis and package builders,python,Build the boundary-layer development scorecard and ablation contract.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_boundary_layer_development_scorecard.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_branch_local_internal_nu_unblock.py,analysis and package builders,python,Build AGENT-459 branch-local Internal-Nu unblock package. This package is the implementation pass after AGENT-455. It does not try to make new CFD measurements. It restricts the current closure-QOI/GCI ledger to rows...,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_branch_local_internal_nu_unblock.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_branch_specific_ordinary_pipe_scorecard.py,analysis and package builders,python,Build branch-specific ordinary-pipe inclusion/exclusion scorecards.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_branch_specific_ordinary_pipe_scorecard.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_cfd_case_admission_inventory.py,analysis and package builders,python,Build a CFD case admission inventory for cfd-pp. The builder is intentionally read-only with respect to solver case trees. It reduces existing admission/split/boundary evidence into three human-facing CSVs: case admis...,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_cfd_case_admission_inventory.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_cfd_postprocess_admission_workflow_triage.py,analysis and package builders,python,"Build CFD postprocessing/admission workflow triage artifacts. This package answers the July 14 cfd-pp workflow questions without mutating native CFD outputs. It composes existing steady-state, BC-role, split, registry...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_cfd_postprocess_admission_workflow_triage.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_cfd_radiative_boundary_guidance.py,analysis and package builders,python,Build authoritative CFD radiative-boundary guidance for 1D agents. This AGENT-287 package corrects the stale no-radiation parity assumption after AGENT-277 showed that the custom rcExternalTemperature boundary respond...,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_cfd_radiative_boundary_guidance.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_cfd_scenario_contract.py,analysis and package builders,python,Build a read-only CFD scenario-contract and observation-table audit.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_cfd_scenario_contract.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_closure_observation_table.py,analysis and package builders,python,"Build the canonical closure observation table for admitted Salt 2/3/4 rows. The table is a contract layer, not a new extractor. It adapts existing post-processing products into one row-per-observable CSV with mandator...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_closure_observation_table.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_closure_qoi_final_use_disposition_closeout.py,analysis and package builders,python,Build AGENT-474 Closure-QOI final-use disposition closeout. This closeout resolves the remaining Closure-QOI mesh/GCI blocker only by explicit final-use disposition. Rows are not promoted unless already publication-re...,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_closure_qoi_final_use_disposition_closeout.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_closure_qoi_mesh_gci_punch_list.py,analysis and package builders,python,"Narrow closure-QOI mesh/GCI into an explicit punch list. AGENT-450 is a narrowing pass only. It consumes existing GCI, thermal-admission, and pressure-diagnostic packages, then emits a row-level ledger of what remains...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_closure_qoi_mesh_gci_punch_list.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_closure_qoi_mesh_gci_resolution.py,analysis and package builders,python,"Build AGENT-455 closure-QOI / leg-specific Internal-Nu resolution package. This pass answers the current blocker question with generated evidence: * the test section is treated as a span inside the upcomer, not a sepa...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_closure_qoi_mesh_gci_resolution.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_consolidated_closure_table.py,analysis and package builders,python,"Build a consolidated CFD-to-1D closure table from existing work products. The table is intentionally provenance-heavy. It joins already-generated friction, thermal, recirculation, model-fit, and run-status products wi...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_consolidated_closure_table.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_cooler_removal_model.py,analysis and package builders,python,Build AGENT-482 cooler-removal model comparison package.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_cooler_removal_model.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_cooler_timeout_and_wall_circuit_study.py,analysis and package builders,python,Build AGENT-492 cooler timeout diagnosis and wall-circuit study package.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_cooler_timeout_and_wall_circuit_study.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_corrected_q_pm5_admission_split_processing.py,analysis and package builders,python,Process completed corrected-Q +/-5Q harvest rows into split-aware gates. This package consumes the completed AGENT-347/3295437 harvest status and read-only registry aggregates. It does not mutate registry state or adm...,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_corrected_q_pm5_admission_split_processing.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_corrected_split_final_predictive_scorecard.py,analysis and package builders,python,"Build the corrected-split final predictive scorecard wrapper. This package is a split/legal-admission wrapper around existing evidence. It does not run Fluid, OpenFOAM, fitting, model selection, postprocessing harvest...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_corrected_split_final_predictive_scorecard.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_coupled_m3ts_test_section_scorecard.py,analysis and package builders,python,Build AGENT-461 coupled M3+TS test-section scorecard package.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,test pass/fail result; may create temporary files,python3.11 tools/analyze/build_coupled_m3ts_test_section_scorecard.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",local/lightweight test; usually read-only except temporary outputs
tools/analyze/build_diagnostic_cfd_heat_loss_replay_and_predictive_loss_plan.py,analysis and package builders,python,Build the AGENT-410 CFD-realized heat-loss replay addendum. This package makes the existing forced-realized-wallHeatFlux diagnostic easy to cite in reports. It also records the current train/test data sufficiency and...,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_diagnostic_cfd_heat_loss_replay_and_predictive_loss_plan.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_diagnostic_model_form_publication_readiness_and_study_dispatch.py,analysis and package builders,python,Build publication-readiness and study-dispatch audit for diagnostic forms.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_diagnostic_model_form_publication_readiness_and_study_dispatch.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_direct_recirc_model_forms_and_dry_scorers.py,analysis and package builders,python,"Freeze direct recirculation model forms and emit dry scorers. This package deliberately separates diagnostic recirculation scoring from ordinary coefficient admission. It does not fit Nu, f_D, K, F6, or Fluid parameters.",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_direct_recirc_model_forms_and_dry_scorers.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_downcomer_internal_nu_unlock_and_blocker_roadmap.py,analysis and package builders,python,"Build AGENT-466 downcomer Internal-Nu unlock and blocker roadmap package. This pass uses existing evidence only. It tries the simplest non-upcomer path first, the downcomer, and records the later studies needed for th...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_downcomer_internal_nu_unlock_and_blocker_roadmap.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_downcomer_policy_admission_artifact.py,analysis and package builders,python,"Build AGENT-469 downcomer policy/admission artifact. The artifact decides whether the downcomer can enter ordinary Internal-Nu fitting. It uses existing evidence only and treats sign/enthalpy consistency, low-recircul...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_downcomer_policy_admission_artifact.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
