case_id,candidate_id,engine,segment_name,parent_segment,s_start_m,s_end_m,T_in_K,T_out_K,T_avg_K,Q_source_W,Q_hx_sink_W,Q_ambient_W,upcomer_exchange_Q_main_to_reservoir_W,upcomer_exchange_Q_reservoir_to_main_W,upcomer_exchange_reservoir_energy_residual_W,upcomer_main_stream_temperature_K,upcomer_reservoir_temperature_K,upcomer_prediction_stream
salt_2,UMX1_disabled_baseline,fast_scan,right_vertical__s09,right_vertical,2.66337142857,2.794,540.645985806,540.374009172,540.509997489,0,0,8.47713995813,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,bottom_horizontal_inlet,bottom_horizontal_inlet,2.794,2.8194,540.374009172,540.321213317,540.347611245,0,0,1.64558363715,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,heated_incline__s00,heated_incline,2.8194,2.95002857143,540.321213317,541.264121788,540.792667553,37.9571428571,0,8.56797659383,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,heated_incline__s01,heated_incline,2.95002857143,3.048,541.264121788,541.96909424,541.616608014,28.4678571429,0,6.49479439455,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,heated_incline__s02,heated_incline,3.048,3.08065714286,541.96909424,542.20202563,542.085559935,9.48928571429,0,2.22909638851,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,heated_incline__s03,heated_incline,3.08065714286,3.21128571429,542.20202563,543.141624113,542.671824871,37.9571428571,0,8.6711457584,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,heated_incline__s04,heated_incline,3.21128571429,3.2766,543.141624113,543.608835186,543.375229649,18.9785714286,0,4.41619333157,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,heated_incline__s05,heated_incline,3.2766,3.34191428571,543.608835186,544.075625637,543.842230412,18.9785714286,0,4.42930366578,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,heated_incline__s06,heated_incline,3.34191428571,3.47254285714,544.075625637,545.011904534,544.543765086,37.9571428571,0,8.77461406878,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,heated_incline__s07,heated_incline,3.47254285714,3.5052,545.011904534,545.243438643,545.127671588,9.48928571429,0,2.27264809934,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,heated_incline__s08,heated_incline,3.5052,3.60317142857,545.243438643,545.943089847,545.593264245,28.4678571429,0,6.6606522743,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,heated_incline__s09,heated_incline,3.60317142857,3.7338,545.943089847,546.876037803,546.409563825,37.9571428571,0,8.87843629714,0,0,0,,,
salt_2,UMX1_disabled_baseline,fast_scan,bottom_horizontal_exit,bottom_horizontal_exit,3.7338,3.7592,546.876037803,546.821022111,546.848529957,0,0,1.71477320613,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,left_lower_vertical__s00,left_lower_vertical,0,0.121412,547.17010195,546.906542863,547.038322407,0,0,8.22833811702,-0.0136780165472,0.0136780165472,0,547.038322407,547.169662685,main_stream_with_exchange_reservoir
salt_2,UMX1_exchange_0p01,fast_scan,left_lower_vertical__s01,left_lower_vertical,0.121412,0.182118,546.906542863,546.772403898,546.839473381,0,0,4.1980481816,-0.0171359478459,0.0171359478459,0,546.839473381,547.16911237,main_stream_with_exchange_reservoir
salt_2,UMX1_exchange_0p01,fast_scan,left_lower_vertical__s02,left_lower_vertical,0.182118,0.242824,546.772403898,546.638600636,546.705502267,0,0,4.19450900135,-0.0240601328647,0.0240601328647,0,546.705502267,547.168339686,main_stream_with_exchange_reservoir
salt_2,UMX1_exchange_0p01,fast_scan,left_lower_vertical__s03,left_lower_vertical,0.242824,0.364236,546.638600636,546.377678682,546.508139659,0,0,8.20099079492,-0.0685252555266,0.0685252555266,0,546.508139659,547.166139019,main_stream_with_exchange_reservoir
salt_2,UMX1_exchange_0p01,fast_scan,test_section__s00,test_section,0.364236,0.4572,546.377678682,546.491731286,546.434704984,18.5,0,15.05909854,-0.113878450717,0.113878450717,0,546.434704984,547.162481849,main_stream_with_exchange_reservoir
salt_2,UMX1_exchange_0p01,fast_scan,test_section__s01,test_section,0.4572,0.550164,546.491731286,546.604942602,546.548336944,18.5,0,15.067058757,-0.0956174677577,0.0956174677577,0,546.548336944,547.159411125,main_stream_with_exchange_reservoir
salt_2,UMX1_exchange_0p01,fast_scan,left_upper_vertical__s00,left_upper_vertical,0.550164,0.671576,546.604942602,546.344158303,546.474550453,0,0,8.19925997215,-0.0710848994413,0.0710848994413,0,546.474550453,547.157128256,main_stream_with_exchange_reservoir
salt_2,UMX1_exchange_0p01,fast_scan,left_upper_vertical__s01,left_upper_vertical,0.671576,0.732282,546.344158303,546.211409417,546.27778386,0,0,4.18322118718,-0.0456356383681,0.0456356383681,0,546.27778386,547.155662682,main_stream_with_exchange_reservoir
salt_2,UMX1_exchange_0p01,fast_scan,left_upper_vertical__s02,left_upper_vertical,0.732282,0.792988,546.211409417,546.078990998,546.145200208,0,0,4.17972573665,-0.052440318367,0.052440318367,0,546.145200208,547.153978578,main_stream_with_exchange_reservoir
salt_2,UMX1_exchange_0p01,fast_scan,left_upper_vertical__s03,left_upper_vertical,0.792988,0.9144,546.078990998,545.820802313,545.949896655,0,0,8.17225188316,-0.124977306854,0.124977306854,0,545.949896655,547.149964971,main_stream_with_exchange_reservoir
salt_2,UMX1_exchange_0p01,fast_scan,top_horizontal_inlet,top_horizontal_inlet,0.9144,0.9398,545.820802313,545.766150396,545.793476355,0,0,1.7034347934,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,cooled_incline_pre_hx__s00,cooled_incline_pre_hx,0.9398,1.0414,545.766150396,545.544609212,545.655379804,0,0,6.90514506837,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,cooled_incline_pre_hx__s01,cooled_incline_pre_hx,1.0414,1.143,545.544609212,545.323377147,545.433993179,0,0,6.89551026547,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,cooled_incline_pre_hx__s02,cooled_incline_pre_hx,1.143,1.1684,545.323377147,545.266178537,545.294777842,0,0,1.78281206592,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,cooled_incline_pre_hx__s03,cooled_incline_pre_hx,1.1684,1.2446,545.266178537,545.09954013,545.182859333,0,0,5.19390521706,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,cooled_incline_hx_active__s00,cooled_incline_hx_active,1.2446,1.3462,545.09954013,544.499712216,544.799626173,0,18.6959315161,0,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,cooled_incline_hx_active__s01,cooled_incline_hx_active,1.3462,1.397,544.499712216,544.153670054,544.326691135,0,10.7857305242,0,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,cooled_incline_hx_active__s02,cooled_incline_hx_active,1.397,1.4478,544.153670054,543.832366224,543.993018139,0,10.0146658679,0,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,cooled_incline_hx_active__s03,cooled_incline_hx_active,1.4478,1.5494,543.832366224,543.37175908,543.602062652,0,14.3565859278,0,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,cooled_incline_post_hx__s00,cooled_incline_post_hx,1.5494,1.6256,543.37175908,543.207107265,543.289433172,0,0,5.13198586624,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,cooled_incline_post_hx__s01,cooled_incline_post_hx,1.6256,1.651,543.207107265,543.150672636,543.17888995,0,0,1.75899971221,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,cooled_incline_post_hx__s02,cooled_incline_post_hx,1.651,1.7526,543.150672636,542.932765229,543.041718932,0,0,6.79188537796,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,cooled_incline_post_hx__s03,cooled_incline_post_hx,1.7526,1.8542,542.932765229,542.715159031,542.82396213,0,0,6.78249714518,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,top_horizontal_exit,top_horizontal_exit,1.8542,1.8796,542.715159031,542.661569828,542.688364429,0,0,1.67031131013,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,right_vertical__s00,right_vertical,1.8796,2.01022857143,542.661569828,542.386082319,542.523826073,0,0,8.58656869802,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,right_vertical__s01,right_vertical,2.01022857143,2.1082,542.386082319,542.178068069,542.282075194,0,0,6.48353032084,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,right_vertical__s02,right_vertical,2.1082,2.14085714286,542.178068069,542.106168477,542.142118273,0,0,2.2410231839,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,right_vertical__s03,right_vertical,2.14085714286,2.27148571429,542.106168477,541.831650931,541.968909704,0,0,8.55633639219,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,right_vertical__s04,right_vertical,2.27148571429,2.3368,541.831650931,541.69166741,541.761659171,0,0,4.36310937125,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,right_vertical__s05,right_vertical,2.3368,2.40211428571,541.69166741,541.551808823,541.621738117,0,0,4.35921535632,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,right_vertical__s06,right_vertical,2.40211428571,2.53274285714,541.551808823,541.278257501,541.415033162,0,0,8.52622062458,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,right_vertical__s07,right_vertical,2.53274285714,2.5654,541.278257501,541.206770648,541.242514075,0,0,2.22815861745,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,right_vertical__s08,right_vertical,2.5654,2.66337142857,541.206770648,541.00031266,541.103541654,0,0,6.43502382541,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,right_vertical__s09,right_vertical,2.66337142857,2.794,541.00031266,540.727720671,540.864016665,0,0,8.49631966497,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,bottom_horizontal_inlet,bottom_horizontal_inlet,2.794,2.8194,540.727720671,540.674805379,540.701263025,0,0,1.64930630933,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,heated_incline__s00,heated_incline,2.8194,2.95002857143,540.674805379,541.617093281,541.14594933,37.9571428571,0,8.58731915287,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,heated_incline__s01,heated_incline,2.95002857143,3.048,541.617093281,542.321596804,541.969345043,28.4678571429,0,6.50941042492,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,heated_incline__s02,heated_incline,3.048,3.08065714286,542.321596804,542.554367116,542.43798196,9.48928571429,0,2.23411700708,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,heated_incline__s03,heated_incline,3.08065714286,3.21128571429,542.554367116,543.493343033,543.023855074,37.9571428571,0,8.69055055806,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,heated_incline__s04,heated_incline,3.21128571429,3.2766,543.493343033,543.960237526,543.726790279,18.9785714286,0,4.42606079914,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,heated_incline__s05,heated_incline,3.2766,3.34191428571,543.960237526,544.426711148,544.193474337,18.9785714286,0,4.43917890336,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,heated_incline__s06,heated_incline,3.34191428571,3.47254285714,544.426711148,545.36236552,544.894538334,37.9571428571,0,8.79407989918,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,heated_incline__s07,heated_incline,3.47254285714,3.5052,545.36236552,545.593737696,545.478051608,9.48928571429,0,2.27769534619,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,heated_incline__s08,heated_incline,3.5052,3.60317142857,545.593737696,546.292916819,545.943327258,28.4678571429,0,6.67536658927,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,heated_incline__s09,heated_incline,3.60317142857,3.7338,546.292916819,547.225238323,546.759077571,37.9571428571,0,8.89796216716,0,0,0,,,
salt_2,UMX1_exchange_0p01,fast_scan,bottom_horizontal_exit,bottom_horizontal_exit,3.7338,3.7592,547.225238323,547.17010195,547.197670137,0,0,1.71853471463,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,left_lower_vertical__s00,left_lower_vertical,0,0.121412,548.444416048,548.180485275,548.312450661,0,0,8.29426975659,-0.0684865300806,0.0684865300806,0,548.312450661,548.442216625,main_stream_with_exchange_reservoir
salt_2,UMX1_exchange_0p05,fast_scan,left_lower_vertical__s01,left_lower_vertical,0.121412,0.182118,548.180485275,548.047442546,548.11396391,0,0,4.23180244489,-0.0851772197027,0.0851772197027,0,548.11396391,548.439481185,main_stream_with_exchange_reservoir
salt_2,UMX1_exchange_0p05,fast_scan,left_lower_vertical__s02,left_lower_vertical,0.182118,0.242824,548.047442546,547.915592505,547.981517525,0,0,4.22828743236,-0.118835487435,0.118835487435,0,547.981517525,548.435664821,main_stream_with_exchange_reservoir
salt_2,UMX1_exchange_0p05,fast_scan,left_lower_vertical__s03,left_lower_vertical,0.242824,0.364236,547.915592505,547.661114453,547.788353479,0,0,8.26711303931,-0.335937392449,0.335937392449,0,547.788353479,548.424876299,main_stream_with_exchange_reservoir
salt_2,UMX1_exchange_0p05,fast_scan,test_section__s00,test_section,0.364236,0.4572,547.661114453,547.786140685,547.723627569,18.5,0,15.1494102389,-0.545894195745,0.545894195745,0,547.723627569,548.407345081,main_stream_with_exchange_reservoir
salt_2,UMX1_exchange_0p05,fast_scan,test_section__s01,test_section,0.4572,0.550164,547.786140685,547.907376494,547.84675859,18.5,0,15.1580401063,-0.436394247606,0.436394247606,0,547.84675859,548.393330419,main_stream_with_exchange_reservoir
salt_2,UMX1_exchange_0p05,fast_scan,left_upper_vertical__s00,left_upper_vertical,0.550164,0.671576,547.907376494,547.652348991,547.779862742,0,0,8.26667351463,-0.318373428777,0.318373428777,0,547.779862742,548.383105957,main_stream_with_exchange_reservoir
salt_2,UMX1_exchange_0p05,fast_scan,left_upper_vertical__s01,left_upper_vertical,0.671576,0.732282,547.652348991,547.523640646,547.587994818,0,0,4.21785356083,-0.20632078046,0.20632078046,0,547.587994818,548.376480031,main_stream_with_exchange_reservoir
salt_2,UMX1_exchange_0p05,fast_scan,left_upper_vertical__s02,left_upper_vertical,0.732282,0.792988,547.523640646,547.396052949,547.459846797,0,0,4.2144590278,-0.237854150107,0.237854150107,0,547.459846797,548.368841421,main_stream_with_exchange_reservoir
salt_2,UMX1_exchange_0p05,fast_scan,left_upper_vertical__s03,left_upper_vertical,0.792988,0.9144,547.396052949,547.149899338,547.272976143,0,0,8.24045748948,-0.568724970109,0.568724970109,0,547.272976143,548.350577,main_stream_with_exchange_reservoir
salt_2,UMX1_exchange_0p05,fast_scan,top_horizontal_inlet,top_horizontal_inlet,0.9144,0.9398,547.149899338,547.094789014,547.122344176,0,0,1.71772278517,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,cooled_incline_pre_hx__s00,cooled_incline_pre_hx,0.9398,1.0414,547.094789014,546.871388809,546.983088911,0,0,6.96308811899,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,cooled_incline_pre_hx__s01,cooled_incline_pre_hx,1.0414,1.143,546.871388809,546.648301802,546.759845305,0,0,6.95332616524,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,cooled_incline_pre_hx__s02,cooled_incline_pre_hx,1.143,1.1684,546.648301802,546.590621871,546.619461836,0,0,1.79781424062,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,cooled_incline_pre_hx__s03,cooled_incline_pre_hx,1.1684,1.2446,546.590621871,546.422586512,546.506604191,0,0,5.23744632185,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,cooled_incline_hx_active__s00,cooled_incline_hx_active,1.2446,1.3462,546.422586512,545.819322278,546.120954395,0,18.8030375117,0,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,cooled_incline_hx_active__s01,cooled_incline_hx_active,1.3462,1.397,545.819322278,545.47130247,545.645312374,0,10.8473714397,0,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,cooled_incline_hx_active__s02,cooled_incline_hx_active,1.397,1.4478,545.47130247,545.14817717,545.30973982,0,10.071438924,0,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,cooled_incline_hx_active__s03,cooled_incline_hx_active,1.4478,1.5494,545.14817717,544.685004881,544.916591025,0,14.4365384808,0,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,cooled_incline_post_hx__s00,cooled_incline_post_hx,1.5494,1.6256,544.685004881,544.518977367,544.601991124,0,0,5.17486451548,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,cooled_incline_post_hx__s01,cooled_incline_post_hx,1.6256,1.651,544.518977367,544.462069845,544.490523606,0,0,1.77373918943,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,cooled_incline_post_hx__s02,cooled_incline_post_hx,1.651,1.7526,544.462069845,544.242344733,544.352207289,0,0,6.84854068322,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,cooled_incline_post_hx__s03,cooled_incline_post_hx,1.7526,1.8542,544.242344733,544.022924776,544.132634755,0,0,6.83902943611,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,top_horizontal_exit,top_horizontal_exit,1.8542,1.8796,544.022924776,543.968889507,543.995907141,0,0,1.68421464725,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,right_vertical__s00,right_vertical,1.8796,2.01022857143,543.968889507,543.691111259,543.830000383,0,0,8.65796761379,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,right_vertical__s01,right_vertical,2.01022857143,2.1082,543.691111259,543.481367143,543.586239201,0,0,6.53744781994,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,right_vertical__s02,right_vertical,2.1082,2.14085714286,543.481367143,543.408867312,543.445117228,0,0,2.25973186476,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,right_vertical__s03,right_vertical,2.14085714286,2.27148571429,543.408867312,543.132071668,543.27046949,0,0,8.62734134173,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,right_vertical__s04,right_vertical,2.27148571429,2.3368,543.132071668,542.990924506,543.061498087,0,0,4.39937850768,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,right_vertical__s05,right_vertical,2.3368,2.40211428571,542.990924506,542.849903911,542.920414209,0,0,4.39543360984,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,right_vertical__s06,right_vertical,2.40211428571,2.53274285714,542.849903911,542.574087055,542.711995483,0,0,8.59683397169,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,right_vertical__s07,right_vertical,2.53274285714,2.5654,542.574087055,542.502005378,542.538046216,0,0,2.24669853184,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,right_vertical__s08,right_vertical,2.5654,2.66337142857,542.502005378,542.293837795,542.397921587,0,0,6.48830948461,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,right_vertical__s09,right_vertical,2.66337142857,2.794,542.293837795,542.018992716,542.156415255,0,0,8.56654512927,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,bottom_horizontal_inlet,bottom_horizontal_inlet,2.794,2.8194,542.018992716,541.965640119,541.992316417,0,0,1.66293658846,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,heated_incline__s00,heated_incline,2.8194,2.95002857143,541.965640119,542.90565584,542.43564798,37.9571428571,0,8.65814084645,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,heated_incline__s01,heated_incline,2.95002857143,3.048,542.90565584,543.608442414,543.257049127,28.4678571429,0,6.56292598146,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,heated_incline__s02,heated_incline,3.048,3.08065714286,543.608442414,543.840622931,543.724532673,9.48928571429,0,2.25250026548,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,heated_incline__s03,heated_incline,3.08065714286,3.21128571429,543.840622931,544.777319422,544.308971177,37.9571428571,0,8.76159807328,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,heated_incline__s04,heated_incline,3.21128571429,3.2766,544.777319422,545.243054795,545.010187109,18.9785714286,0,4.46218933143,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,heated_incline__s05,heated_incline,3.2766,3.34191428571,545.243054795,545.708368393,545.475711594,18.9785714286,0,4.47533561953,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,heated_incline__s06,heated_incline,3.34191428571,3.47254285714,545.708368393,546.641736236,546.175052315,37.9571428571,0,8.86534879272,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,heated_incline__s07,heated_incline,3.47254285714,3.5052,546.641736236,546.872515518,546.757125877,9.48928571429,0,2.29617523055,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,heated_incline__s08,heated_incline,3.5052,3.60317142857,546.872515518,547.569966253,547.221240885,28.4678571429,0,6.7292386697,0,0,0,,,
salt_2,UMX1_exchange_0p05,fast_scan,heated_incline__s09,heated_incline,3.60317142857,3.7338,547.569966253,548.499994242,548.034980248,37.9571428571,0,8.96944880094,0,0,0,,,
